gene,avg_bulk_CPM,hgnc_symbol
ENSG00000173812,504.49330838076526,EIF1
ENSG00000143933,502.9929787657952,CALM2
ENSG00000164587,501.504237838618,RPS14
ENSG00000144713,500.99921133561816,RPL32
ENSG00000115053,497.8803083036632,NCL
ENSG00000196531,490.9332985045067,NACA
ENSG00000168028,490.2459724935307,RPSA
ENSG00000160255,489.6979759563066,ITGB2
ENSG00000111348,489.21413718202984,ARHGDIB
ENSG00000174437,488.3486701857397,ATP2A2
ENSG00000197756,484.31357092812914,RPL37A
ENSG00000143546,483.6075132303423,S100A8
ENSG00000181163,483.31733026206535,NPM1
ENSG00000196091,483.2295767051644,MYBPC1
ENSG00000140575,483.08474743947465,IQGAP1
ENSG00000065978,481.6783008003621,YBX1
ENSG00000131711,481.4650513341729,MAP1B
ENSG00000143947,474.76634115617657,RPS27A
ENSG00000123384,472.13656494286096,LRP1
ENSG00000167552,470.8630954186599,TUBA1A
ENSG00000008988,470.1024987617885,RPS20
ENSG00000071082,469.9124262086159,RPL31
ENSG00000266412,469.0854562789613,NCOA4
ENSG00000151914,463.5630574805745,DST
ENSG00000118271,462.0783336226595,TTR
ENSG00000125999,452.7572912169853,BPIFB1
ENSG00000145592,452.0992883024237,RPL37
ENSG00000105372,449.0199801410116,RPS19
ENSG00000177600,445.4097258787435,RPLP2
ENSG00000152234,444.6371289404078,ATP5F1A
ENSG00000102144,443.90702860019326,PGK1
ENSG00000156976,441.6923119513594,EIF4A2
ENSG00000197102,441.0308605324406,DYNC1H1
ENSG00000141367,440.7112774905608,CLTC
ENSG00000166441,440.2370398495875,RPL27A
ENSG00000044574,440.1921991889561,HSPA5
ENSG00000158710,436.1404176291215,TAGLN2
ENSG00000038427,433.1906140954112,VCAN
ENSG00000151726,433.0434301678741,ACSL1
ENSG00000125691,431.98018646992375,RPL23
ENSG00000163563,431.1760445006182,MNDA
ENSG00000131095,429.1459400586863,GFAP
ENSG00000138071,428.6239148662909,ACTR2
ENSG00000162747,424.1403711208639,FCGR3B
ENSG00000172757,422.2529519866153,CFL1
ENSG00000197694,420.05516519446775,SPTAN1
ENSG00000178209,418.41589388958687,PLEC
ENSG00000115310,417.474503942981,RTN4
ENSG00000197958,415.9898467347471,RPL12
ENSG00000101596,414.4839136958805,SMCHD1
ENSG00000163359,414.47083107616794,COL6A3
ENSG00000196262,413.28697657340575,PPIA
ENSG00000135046,413.12764326742973,ANXA1
ENSG00000092199,411.6846941065101,HNRNPC
ENSG00000111245,410.96418038181497,MYL2
ENSG00000120708,405.11644877725575,TGFBI
ENSG00000260032,403.91804367734056,NORAD
ENSG00000115677,403.49116355732446,HDLBP
ENSG00000197956,400.8975415956303,S100A6
ENSG00000188846,400.85563302393336,RPL14
ENSG00000115461,400.45467902381495,IGFBP5
ENSG00000188404,398.296427729522,SELL
ENSG00000140416,398.2361332471245,TPM1
ENSG00000179218,397.1738531002795,CALR
ENSG00000163682,396.2295438755333,RPL9
ENSG00000111669,393.82439434927863,TPI1
ENSG00000105701,389.9741318417377,FKBP8
ENSG00000104904,388.42348644763473,OAZ1
ENSG00000152583,387.46947175224614,SPARCL1
ENSG00000122026,385.7776596347503,RPL21
ENSG00000108107,385.5852461571571,RPL28
ENSG00000163466,384.7471325177792,ARPC2
ENSG00000187109,383.79763654841537,NAP1L1
ENSG00000096696,382.90073593805494,DSP
ENSG00000206172,378.51579388907857,HBA1
ENSG00000114353,378.11282812883337,GNAI2
ENSG00000221983,376.9889392584534,UBA52
ENSG00000078369,376.2495041960503,GNB1
ENSG00000198755,375.6604854468341,RPL10A
ENSG00000228253,375.3914005788656,MT-ATP8
ENSG00000167460,372.3919519921606,TPM4
ENSG00000147162,371.6633459314073,OGT
ENSG00000150093,371.5843276309223,ITGB1
ENSG00000063046,370.96086010377235,EIF4B
ENSG00000166913,370.44151664564487,YWHAB
ENSG00000133872,369.56277452863,SARAF
ENSG00000147454,367.19555033128415,SLC25A37
ENSG00000111897,364.4637757930747,SERINC1
ENSG00000108518,363.7697679206927,PFN1
ENSG00000063177,363.56792196333447,RPL18
ENSG00000131051,360.7131642660752,RBM39
