gene_symbol,homlof_populations
SLC39A5,3
SLC39A2,3
SLC38A11,3
SIDT1,3
SLC10A5,3
SLC10A3,3
SIRT3,3
SIRPD,3
SIGLEC9,3
SIGLEC15,3
SHPK,3
SLC36A2,3
SHISAL2A,3
SHISA5,3
SH3YL1,3
SH3D21,3
SH3BGRL,3
SH2D7,3
SLC13A1,3
SLC14A1,3
SLC14A2,3
SLC15A3,3
SLC16A4,3
SLC17A1,3
SLC17A4,3
SLC18A1,3
SLC22A24,3
SLC22A25,3
SLC22A9,3
SLC25A40,3
SLC25A41,3
SLC25A48,3
SLC26A1,3
SLC28A2,3
SLC2A8,3
SPINK5,3
SPOCK2,3
SPRR2D,3
THEMIS,3
TKTL2,3
TKTL1,3
TIRAP,3
TINAG,3
TIMP4,3
TIGD6,3
THBS3,3
TENM1,3
THAP10,3
TGM7,3
TGM4,3
TFE3,3
TEX38,3
TEX37,3
TLR1,3
TLR6,3
TLR7,3
TMC3,3
TMEM143,3
TMEM14B,3
TMEM161A,3
TMEM171,3
TMEM177,3
TMEM44,3
TMEM71,3
TMPRSS11E,3
TMPRSS7,3
TMPRSS9,3
TMSB15A,3
TNFRSF10B,3
TNMD,3
TEX13B,3
TEKT3,3
SSMEM1,3
SVOPL,3
TAAR8,3
TAAR2,3
SYTL3,3
SYTL1,3
SYT8,3
SYNPO2L,3
SV2C,3
TDRD6,3
SUSD2,3
SULT2A1,3
STPG1,3
STKLD1,3
STK36,3
ST7L,3
TAB3,3
TAF11L11,3
TAF11L14,3
TARBP1,3
TAS1R1,3
TAS2R14,3
TAS2R43,3
TBC1D2,3
TBC1D25,3
TBC1D31,3
TBC1D8,3
TBL1X,3
TBPL2,3
TC2N,3
TCEAL2,3
TCEAL9,3
TCHH,3
MPPE1,3
KLK4,3
MPO,3
CDK16,3
CEACAM21,3
CEACAM20,3
CEACAM19,3
CEACAM16,3
CDKL3,3
CDKL1,3
CDK15,3
CENPO,3
CDHR5,3
CDH17,3
CD38,3
CD209,3
CD200R1,3
CD1D,3
CEACAM3,3
CENPV,3
CHRNA6,3
CFAP57,3
CHRFAM7A,3
CHIA,3
CHADL,3
CHAC2,3
CFAP95,3
CFAP58,3
CFAP54,3
CEP112,3
CFAP210,3
CES5A,3
CES3,3
CERS4,3
CEP95,3
CEP89,3
CD180,3
CD160,3
CCZ1,3
CAPN9,3
CCDC113,3
CCDC102B,3
CC2D2B,3
CBY2,3
CATSPERG,3
CASQ1,3
CAPN6,3
CCT6B,3
CAPN13,3
CAMP,3
CALHM1,3
CACNA2D4,3
C9orf131,3
C8orf48,3
CCDC121,3
CCDC13,3
CCDC14,3
CCDC141,3
CCDC15,3
CCDC175,3
CCDC18,3
CCDC180,3
CCDC187,3
CCDC197,3
CCDC33,3
CCDC57,3
CCDC69,3
CCDC78,3
CCDC81,3
CCL4L2,3
CCNQ,3
CHRNA5,3
CIBAR2,3
ECH1,3
CYP4F2,3
DCLRE1C,3
DCDC2C,3
DCDC2B,3
CYYR1,3
CYP4X1,3
CYP4F3,3
CYP3A43,3
DENND2C,3
CYP2F1,3
CYP26C1,3
CYLC1,3
CTRC,3
CT47B1,3
CST7,3
DEFB115,3
DEPDC4,3
CIDEB,3
DNASE1L1,3
DUOXA2,3
DTHD1,3
DSPP,3
DPRX,3
DPEP3,3
DNTT,3
DNAI7,3
DFFB,3
DNAH9,3
DNAH11,3
DNAH1,3
DNAAF8,3
DISP3,3
DHRS7C,3
CST2,3
CSKMT,3
CSHL1,3
CLUL1,3
CNTN6,3
CNKSR1,3
CNDP1,3
CMTM1,3
CMA1,3
CLYBL,3
CLNK,3
CSF2RB,3
CLEC20A,3
CLEC12B,3
CLEC12A,3
CLCNKA,3
CKMT1B,3
CILP,3
CNTRL,3
COL16A1,3
COMTD1,3
COQ10A,3
CORO7,3
COX18,3
CPA1,3
CPA2,3
CPB2,3
CPHXL2,3
CPNE3,3
CPO,3
CPVL,3
CR1,3
CRACR2A,3
CRHR2,3
CRYBA2,3
C8orf34,3
C7orf31,3
C7,3
AHI1,3
ALDH1B1,3
AKR1C1,3
AKR1B15,3
AKNAD1,3
AKAP4,3
AIRE,3
AHCTF1,3
ALDH3B2,3
AGTRAP,3
AGBL5,3
AGBL4,3
AGBL3,3
AGAP6,3
AGAP5,3
ALDH1L1,3
ALG13,3
C6orf118,3
ANKRD27,3
ANO6,3
ANO2,3
ANLN,3
ANKZF1,3
ANKRD53,3
ANKRD34B,3
ANKLE1,3
ALG1L2,3
ANGPTL8,3
ANGPTL6,3
ANGEL1,3
AMY2B,3
ALPI,3
ALPG,3
ADRB3,3
ADPRH,3
ADGRG7,3
ABCC11,3
ACOT8,3
ACADSB,3
ABLIM1,3
ABI3BP,3
ABCG2,3
ABCC6,3
ABCB5,3
ADGRE3,3
ABCA10,3
AARSD1,3
AADACL2,3
AADAC,3
MPEG1,3
A3GALT2,3
ACOX3,3
ACOXL,3
ACSBG2,3
ACSF3,3
ACSM3,3
ACSM6,3
ADAL,3
ADAM20,3
ADAM21,3
ADAM32,3
ADAM7,3
ADAMTS7,3
ADAMTSL5,3
ADAP2,3
ADCY10,3
ADCY2,3
ADGRA2,3
ANO9,3
ANTXRL,3
ANXA10,3
BTN2A1,3
C11orf65,3
C10orf53,3
BTNL9,3
BTNL8,3
BTNL2,3
BTN3A3,3
BRS3,3
BDH1,3
BPIFB3,3
BPI,3
BPHL,3
BLZF1,3
BLVRB,3
BICDL2,3
C12orf73,3
C15orf48,3
C16orf46,3
C17orf80,3
C18orf63,3
C1QTNF3,3
C1orf53,3
C1orf56,3
C1orf94,3
C20orf173,3
C22orf39,3
C2CD4B,3
C2CD4D,3
C2orf76,3
C3orf20,3
C3orf62,3
C5orf63,3
BEST3,3
BCHE,3
AOC2,3
AQP7,3
ARMS2,3
ARHGEF5,3
ARHGEF4,3
ARHGEF18,3
ARHGAP40,3
ARAF,3
APPL2,3
BBOX1,3
APOO,3
APOBR,3
APOBEC3H,3
APLF,3
APBA3,3
AOC3,3
ARSI,3
ART1,3
ART3,3
ARVCF,3
AS3MT,3
ASB16,3
ASB18,3
ASTL,3
ATAD3B,3
ATAD3C,3
ATP12A,3
ATP7A,3
AURKC,3
AVPR2,3
B3GALT9,3
BAHD1,3
BARX2,3
DUXB,3
ABHD15,3
ECHDC3,3
KLF8,3
KLK9,3
KLK10,3
KLHL38,3
KLHL30,3
KLHDC7B,3
KLHDC4,3
KLF17,3
KLRF1,3
KLC3,3
KIZ,3
KIR3DL2,3
KIF2B,3
KIF25,3
KIAA2012,3
KLRC2,3
KRBOX4,3
IFNA7,3
KRTAP29-1,3
LAGE3,3
LACRT,3
L1TD1,3
KRTAP9-8,3
KRTAP5-3,3
KRTAP4-16,3
KRTAP24-1,3
KRT40,3
KRTAP13-1,3
KRTAP10-8,3
KRTAP10-7,3
KRTAP10-11,3
KRT82,3
KRT79,3
KIAA1755,3
KIAA1109,3
KIAA0408,3
IMPG1,3
IQCH,3
IQCE,3
IQCA1,3
INTS6L,3
INPP1,3
INKA2,3
ILDR1,3
KEL,3
IL9R,3
IL1RAPL2,3
IL17D,3
IL17B,3
IKBIP,3
IGSF23,3
IQUB,3
IRAK1BP1,3
ITGA10,3
ITGA2,3
ITGA7,3
ITPR3,3
ITSN2,3
IZUMO1,3
JSRP1,3
KANK4,3
KBTBD12,3
KCNK17,3
KCNMB3,3
KCNRG,3
KCTD19,3
KDM2B,3
KDM6A,3
LAMB4,3
LCN15,3
LCNL1,3
MDC1,3
METTL25B,3
MESP2,3
MELTF,3
MEGF11,3
MEDAG,3
MDM1,3
MCUB,3
MAPK8IP3,3
MCOLN3,3
MCM9,3
MCC,3
MBOAT4,3
MAST2,3
MASP2,3
METTL8,3
MGAM2,3
MGST2,3
MICAL1,3
MICALL2,3
MILR1,3
MINK1,3
MIPOL1,3
MLF1,3
MLKL,3
MMP10,3
MMRN1,3
MNDA,3
MOGAT3,3
MOXD1,3
ECM2,3
MORC4,3
MARCHF10,3
MAPK15,3
LDAH,3
LMNTD2,3
LRRC43,3
LRRC37A2,3
LRRC27,3
LPAR4,3
LPA,3
LMO7,3
LMF1,3
MAP10,3
LIPG,3
LILRB3,3
LILRA6,3
LGALS9B,3
LEXM,3
LDLRAP1,3
LRRC75B,3
LRRCC1,3
LRRFIP2,3
LRRIQ3,3
LRTM1,3
LRWD1,3
LTBP2,3
LVRN,3
LY75,3
LYPD3,3
LYPLAL1,3
LYZL1,3
MAGEB4,3
MAK,3
MAN2A2,3
MAN2B2,3
MANSC4,3
IGLL1,3
MMP25,3
IDNK,3
FIBCD1,3
FREM1,3
FOLR3,3
FMO2,3
FMN1,3
FLYWCH1,3
FKBP7,3
FGGY,3
FBXW8,3
FGFBP3,3
FGFBP1,3
FFAR1,3
FER1L6,3
FCRL4,3
FCRL2,3
FREM3,3
FRK,3
FRMD7,3
FRMPD4,3
FSCB,3
FSIP1,3
FTCD,3
FTHL17,3
FUCA2,3
FUT10,3
FUT6,3
GABRA3,3
GABRR3,3
GAL3ST2,3
GALNT6,3
GALNTL5,3
GALP,3
FCAR,3
FBXL6,3
GARIN1A,3
ENPP3,3
ERMARD,3
ERICH6,3
ERICH3,3
ERCC6L2,3
EPYC,3
EPS8L1,3
ENPEP,3
FBXL13,3
ENDOU,3
EMB,3
EHHADH,3
EDDM3A,3
IDE,3
EFHC2,3
ERMP1,3
ERVV-2,3
EXPH5,3
F11,3
F7,3
F8,3
FABP12,3
FAM118A,3
FAM149A,3
FAM149B1,3
FAM162B,3
FAM189B,3
FAM200B,3
FAM227A,3
FAM237A,3
FAM90A10,3
FBN3,3
GANC,3
ELF4,3
GARIN6,3
H4C12,3
HDX,3
HAVCR1,3
HAO2,3
HACL1,3
HABP2,3
H4C8,3
H3C1,3
HELB,3
H3-7,3
H2AL1Q,3
GYPB,3
GTF2IRD2,3
GSTM4,3
GSR,3
HEATR4,3
HELQ,3
GRM6,3
HS3ST6,3
ICA1L,3
HTR2B,3
GBP7,3
HSFX3,3
HSFX1,3
HSD17B1,3
HRC,3
HHIPL1,3
HPF1,3
HMMR,3
HLA-G,3
HLA-F,3
HLA-DPB1,3
HHIPL2,3
GRTP1,3
EFCAB5,3
GRK4,3
GOLGA8K,3
GCNT7,3
GCFC2,3
GRAMD2A,3
GDPD4,3
GFRAL,3
GIMAP8,3
GJC3,3
GK,3
GLIPR1L1,3
GLT6D1,3
GMFG,3
GOLGA6A,3
GOLGA6L2,3
GOLGA6L6,3
GEN1,3
GOLGA8S,3
GPR50,3
GP6,3
GPRASP2,3
GPRC5A,3
GPR89B,3
GPX7,3
GPR89A,3
GPR84,3
GPR39,3
GRAMD1C,3
GPR143,3
GPR142,3
GPATCH3,3
GCA,3
PPIF,2
PPAN,2
PPIAL4A,2
PPID,2
PPP1R14A,2
PPIL2,2
PPIL6,2
PPL,2
PPM1M,2
POTEJ,2
PPP1R2C,2
PPP1R3D,2
POU5F1B,2
PODN,2
POTEG,2
POTEF,2
POMZP3,2
POM121L12,2
POLK,2
PNPLA6,2
PNPLA3,2
PNMA6E,2
PNLIPRP3,2
PNLDC1,2
PLTP,2
PPY,2
PLPP6,2
PLPP5,2
PLK5,2
PPP4R3C,2
PRPF6,2
PRADC1,2
PRSS36,2
PRRT4,2
PRSS1,2
PRSS16,2
PRSS2,2
PRSS33,2
PRSS35,2
PRSS53,2
PRAF2,2
PRXL2A,2
PRXL2C,2
PSEN2,2
PSG2,2
PSKH2,2
PSMA8,2
PRRC1,2
PRR36,2
PRR33,2
PRR29,2
PRR23A,2
PROSER3,2
PROSER2,2
PROCA1,2
PROB1,2
PRLH,2
PRKD1,2
PRKAG1,2
PRH1,2
PREX2,2
PRAMEF7,2
PRAMEF20,2
PRAM1,2
PLEKHG6,2
PLA2G15,2
PLEKHG4B,2
PDZRN4,2
PDHX,2
PDK2,2
PDYN,2
PDZD2,2
PDZD3,2
PDZD7,2
PEAR1,2
PLEKHB1,2
PELI3,2
PER3,2
PEX11G,2
PF4,2
PFKL,2
PFKP,2
PDGFD,2
PDF,2
PDE6C,2
PDE4C,2
PDE1A,2
PCYOX1,2
PCOLCE2,2
PCNT,2
PCM1,2
PCDHGB1,2
PCDHGA3,2
PCDHB9,2
PCDHB8,2
PSMB10,2
PCDHB5,2
PCDHB4,2
PCDHB3,2
PGBD4,2
PGK2,2
PGM2,2
PIWIL2,2
PLEKHA4,2
PLEKHA1,2
PLD4,2
PLCH2,2
PLCE1,2
PLCD4,2
PLCB2,2
PLBD1,2
PLAC1,2
PLAAT4,2
PLA2G4C,2
PLA2G2D,2
PKP4,2
PIWIL4,2
PIP5KL1,2
PHACTR4,2
PIN4,2
PIM2,2
PILRB,2
PIK3R6,2
PIGG,2
PIGA,2
PIF1,2
PI4K2B,2
PI3,2
PI16,2
PHYKPL,2
PHRF1,2
PHLDB2,2
PHC2,2
PHF11,2
RHOT2,2
PSORS1C1,2
RPS6KB2,2
ROPN1L,2
RP2,2
RPE65,2
RPGRIP1,2
RPH3AL,2
RPP25,2
RRAS,2
PSRC1,2
RRP1,2
RRP1B,2
RSAD1,2
RSC1A1,2
RSPH10B,2
RSPO4,2
ROPN1,2
ROBO4,2
RNPEP,2
RNF39,2
RNF216,2
RNF212B,2
RNF207,2
RNF181,2
RNF175,2
RNF135,2
RNASE9,2
RNASE11,2
RMND5B,2
RMDN1,2
RIPPLY3,2
RIOX2,2
RILP,2
RTCA,2
RTKN2,2
RTN2,2
SCN11A,2
SEC14L6,2
SEC14L5,2
PCDHB16,2
SEC14L4,2
SDSL,2
SDR42E2,2
SDR39U1,2
SDR16C5,2
SDF2L1,2
SCUBE2,2
SCRN2,2
SCRN1,2
SCNN1A,2
SCN7A,2
SCLY,2
RTP1,2
SCGB3A2,2
SCARF1,2
SARDH,2
SAPCD1,2
SAP18,2
SAMD9,2
SAMD14,2
SAA2,2
SAA1,2
S100A3,2
RXFP1,2
RWDD2B,2
RTP5,2
RTP4,2
RIC3,2
RIBC2,2
RHPN1,2
PUS7L,2
RAB25,2
RAB17,2
RAB11FIP1,2
QSOX1,2
QPCTL,2
QPCT,2
PYHIN1,2
PYGB,2
PXT1,2
PXMP2,2
PXDN,2
PXDC1,2
PWWP2B,2
PVR,2
PTX3,2
RABEP2,2
PTPRN2,2
PTPN7,2
PTPN5,2
PTPN3,2
PTPN21,2
PTPN18,2
PTPDC1,2
PTK6,2
PTK2B,2
PTGIR,2
PTGER1,2
PTCHD1,2
PTCH2,2
PSTPIP1,2
RAB36,2
RABEPK,2
RHOXF2B,2
RCN3,2
RHEX,2
RHBDL2,2
RGS9,2
RGS3,2
RGS22,2
RGL2,2
RFX8,2
RFNG,2
REX1BD,2
REP15,2
REG3G,2
RECQL5,2
RDH13,2
RD3L,2
RCBTB2,2
RAD18,2
RBP5,2
RBP1,2
RBM44,2
RBKS,2
RBBP7,2
RASSF1,2
RASGRP4,2
RASAL1,2
RANBP1,2
RAI2,2
RAET1E,2
RADIL,2
RAD54B,2
RAD52,2
PCDHB2,2
ODF4,2
PCDHB14,2
NME4,2
NLRP2B,2
NLRP4,2
NLRP5,2
NLRP7,2
NMB,2
NME3,2
NMRAL1,2
ODAM,2
NMRK1,2
NMS,2
NMUR1,2
NMUR2,2
NOD1,2
NOL3,2
NLRP2,2
NLRP10,2
NLRC5,2
NLGN3,2
NKPD1,2
NIPSNAP3A,2
NIPAL2,2
NIF3L1,2
NID1,2
NHLRC3,2
NGEF,2
NEXN,2
NEXMIF,2
NEU3,2
NEU2,2
NEPRO,2
NELL1,2
NONO,2
NOTCH2NLC,2
NOX3,2
NUDT22,2
OCSTAMP,2
OCRL,2
OCIAD2,2
OBI1,2
OAZ3,2
OAS2,2
NYX,2
NXNL1,2
NUTM2D,2
NUTM2B,2
NUP210L,2
NUMB,2
NUDT9,2
NUDT8,2
NUDT10,2
NPAP1,2
NUDT1,2
NTPCR,2
NTHL1,2
NT5M,2
NT5DC3,2
NT5C1A,2
NSUN6,2
NSUN3,2
NRG4,2
NPW,2
NPIPB9,2
NPIPB6,2
NPEPL1,2
NPC1L1,2
NEK10,2
NEIL2,2
NEFH,2
MRI1,2
MT4,2
MT1F,2
MSRB2,2
MSR1,2
MS4A8,2
MS4A4E,2
MS4A15,2
MS4A14,2
MS4A10,2
MRPL53,2
MRPL1,2
MROH9,2
MROH1,2
MRNIP,2
MRGPRX3,2
MTERF1,2
MRGPRF,2
MRGPRE,2
MRGPRD,2
MREG,2
MRE11,2
MR1,2
MPZL3,2
MPV17L2,2
MPP3,2
MPP1,2
MPND,2
MPHOSPH9,2
SEL1L2,2
MPG,2
MTARC1,2
MTG1,2
NDUFA4L2,2
MYOZ3,2
NDRG1,2
NCF4,2
NBR1,2
NBPF3,2
NBPF20,2
NAV1,2
NAT8,2
NAT16,2
NAT14,2
NAP1L3,2
NAALADL2,2
MZF1,2
MZB1,2
MYRIP,2
MYO7A,2
MTHFD2L,2
MYO18B,2
MYO15A,2
MYL5,2
MYH7B,2
MYH10,2
MYBPH,2
MYBPC3,2
MYBBP1A,2
MXRA8,2
MX2,2
MVP,2
MTNR1A,2
MTMR7,2
MTHFSD,2
ODAD4,2
OGFR,2
PCDHA7,2
OR8I2,2
OR6T1,2
OR7C2,2
OR7G2,2
OR8B3,2
OR8B4,2
OR8B8,2
OR8J1,2
OGG1,2
OR8K3,2
OR9G4,2
OR9K2,2
OSBP2,2
OSMR,2
OTOA,2
OR6M1,2
OR6J1,2
OR6C76,2
OR6C68,2
OR6C65,2
OR6C3,2
OR6A2,2
OR5T1,2
OR5P3,2
OR5M3,2
OR5L1,2
OR5K4,2
OR5I1,2
OR5F1,2
OR5D18,2
OR5D14,2
OR5B3,2
OTOS,2
OVCH2,2
OXCT2,2
PAPOLB,2
PCDHA5,2
PCDHA3,2
PCDHA1,2
PCBP3,2
PBX4,2
PBDC1,2
PAX4,2
PATL2,2
PATJ,2
PARP4,2
PARP14,2
PAQR5,2
PAQR4,2
PAPPA2,2
PANX2,2
OXER1,2
PANO1,2
PAMR1,2
PALLD,2
PAGE1,2
PACRGL,2
PABPC3,2
PAAF1,2
P3H3,2
P3H2,2
P2RY13,2
P2RX4,2
P2RX2,2
OXNAD1,2
OXGR1,2
OR5B17,2
OR5B12,2
OR52R1,2
OR10K2,2
OR1N2,2
OR1E1,2
OR1D2,2
OR1B1,2
OR14C36,2
OR13G1,2
OR13F1,2
OR13C4,2
OR13C3,2
OR11H6,2
OR11A1,2
OR10T2,2
OR10Q1,2
OR10P1,2
OR10K1,2
OR2A14,2
OR10J1,2
OR10H4,2
OR10G9,2
OR10G3,2
OR10A4,2
OPTN,2
OPRM1,2
OPN4,2
OPLAH,2
OPALIN,2
OOSP1,2
OMA1,2
OLFML2A,2
OLAH,2
OR2A12,2
OR2A25,2
OR52N4,2
OR2Y1,2
OR52K2,2
OR52B4,2
OR52A5,2
OR52A1,2
OR51Q1,2
OR51L1,2
OR51G2,2
OR51E2,2
OR51B6,2
OR4K13,2
OR4F6,2
OR4D6,2
OR4D5,2
OR4A15,2
OR2W1,2
OR2AP1,2
OR2T6,2
OR2M7,2
OR2M4,2
OR2M2,2
OR2L5,2
OR2L3,2
OR2K2,2
OR2J3,2
OR2J2,2
OR2J1,2
OR2H1,2
OR2G2,2
OR2F2,2
OR2C1,2
SEC16B,2
TMOD4,2
SELENOM,2
UGT1A4,2
UBAP1L,2
UBXN11,2
UCN,2
UCP3,2
UGGT2,2
UGT1A3,2
UGT1A6,2
WDR76,2
UGT1A8,2
UGT2A1,2
UGT2A3,2
UGT2B11,2
UGT2B4,2
UGT2B7,2
UAP1L1,2
UACA,2
U2AF1L4,2
TYW1B,2
TYSND1,2
TXNRD1,2
TVP23A,2
TULP3,2
TULP2,2
TUBA3E,2
TTLL9,2
TTLL8,2
TTLL5,2
TTC38,2
TTC37,2
TTC30A,2
TTC3,2
UHRF1BP1,2
ULBP3,2
UMODL1,2
VHLL,2
WDR5B,2
WDR49,2
WDFY2,2
WBP1,2
VWA5B1,2
VWA5A,2
VWA3B,2
VWA1,2
VSX1,2
VSIG10,2
VRK2,2
VN1R2,2
VN1R1,2
VIPR1,2
VGLL1,2
UNC45B,2
VENTX,2
VAX2,2
UTS2R,2
UTRN,2
USP53,2
USP50,2
USP35,2
USP29,2
USP16,2
USP13,2
USP11,2
UPP1,2
UPK1A,2
UNKL,2
TTC29,2
TTC24,2
TTC23L,2
TP53TG5,2
TRIM34,2
TRIM31,2
TRIM22,2
TRIM21,2
TRIM17,2
TRAF3IP3,2
TRAF3IP1,2
TRABD2A,2
TRABD,2
TPSAB1,2
TPRG1,2
TPPP2,2
TPO,2
TPMT,2
TP53TG3D,2
TRIM4,2
TOPAZ1,2
TNXB,2
TNFSF18,2
TNFRSF6B,2
TNFRSF10D,2
TNFRSF10C,2
TMPRSS12,2
TMPRSS11D,2
TMPRSS11B,2
TMPRSS11A,2
TMIGD3,2
TMEM87B,2
TMEM86B,2
TMEM63A,2
TRIM38,2
TRIM40,2
TTC23,2
TRPC5OS,2
TTC16,2
TSSK4,2
TSSK3,2
TSSK2,2
TSSC4,2
TSPO2,2
TSPAN33,2
TSPAN32,2
TSPAN2,2
TSPAN11,2
TSGA10,2
TRPV3,2
TRPM5,2
TRPC6,2
TRPA1,2
TRIM49C,2
TRMT2A,2
TRMT13,2
TRMT1,2
TRMO,2
TRIP10,2
TRIML1,2
TRIM75,2
TRIM7,2
TRIM68,2
TRIM66,2
TRIM54,2
TRIM52,2
TRIM51G,2
TRIM5,2
WDR72,2
WDR93,2
SELENOS,2
ZNF671,2
ZNF587B,2
ZNF595,2
ZNF613,2
ZNF615,2
ZNF658,2
ZNF665,2
ZNF679,2
WDSUB1,2
ZNF69,2
ZNF692,2
ZNF697,2
ZNF701,2
ZNF705B,2
ZNF711,2
ZNF582,2
ZNF578,2
ZNF568,2
ZNF561,2
ZNF559-ZNF177,2
ZNF554,2
ZNF551,2
ZNF549,2
ZNF548,2
ZNF547,2
ZNF529,2
ZNF514,2
ZNF510,2
ZNF491,2
ZNF488,2
ZNF485,2
ZNF484,2
ZNF713,2
ZNF721,2
ZNF727,2
ZNF852,2
MOK,2
ZYG11A,2
ZXDB,2
ZUP1,2
ZSWIM9,2
ZSCAN9,2
ZSCAN26,2
ZSCAN23,2
ZSCAN16,2
ZSCAN12,2
ZSCAN1,2
ZRSR2,2
ZNF98,2
ZNF91,2
ZNF843,2
ZNF736,2
ZNF841,2
ZNF839,2
ZNF837,2
ZNF83,2
ZNF813,2
ZNF805,2
ZNF799,2
ZNF793,2
ZNF792,2
ZNF780A,2
ZNF778,2
ZNF774,2
ZNF76,2
ZNF75A,2
ZNF479,2
ZNF470,2
ZNF45,2
ZBTB8B,2
ZIK1,2
ZIC3,2
ZFYVE19,2
ZFYVE16,2
ZFP69B,2
ZFP69,2
ZDHHC9,2
ZDHHC18,2
ZDHHC13,2
ZDHHC12,2
ZDBF2,2
ZCWPW1,2
ZCCHC4,2
ZC3H12C,2
ZBED9,2
ZMAT1,2
ZBED5,2
ZBED3,2
YJEFN3,2
YIPF7,2
XYLB,2
XKR5,2
XCR1,2
XCL2,2
WNK4,2
WIPI1,2
WIPF3,2
WFDC8,2
WFDC3,2
WFDC1,2
ZKSCAN7,2
ZMYM6,2
ZNF443,2
ZNF311,2
ZNF44,2
ZNF432,2
ZNF431,2
ZNF430,2
ZNF43,2
ZNF415,2
ZNF414,2
ZNF391,2
ZNF354C,2
ZNF347,2
ZNF33B,2
ZNF337,2
ZNF335,2
ZNF334,2
ZNF277,2
ZMYND15,2
ZNF264,2
ZNF256,2
ZNF254,2
ZNF25,2
ZNF239,2
ZNF23,2
ZNF226,2
ZNF224,2
ZNF222,2
ZNF214,2
ZNF177,2
ZNF175,2
ZNF169,2
ZNF165,2
TMEM62,2
TMEM54,2
TMEM52,2
SLF1,2
SLC6A5,2
SLC9A4,2
SLC9A6,2
SLC9B1,2
SLC9B2,2
SLCO1A2,2
SLFN12,2
TMEM47,2
SLFN12L,2
SLITRK2,2
SLK,2
SLX9,2
SMCO2,2
SMIM5,2
SLC6A20,2
SLC6A14,2
SLC6A13,2
SLC5A10,2
SLC52A1,2
SLC47A2,2
SLC47A1,2
SLC39A11,2
SLC38A6,2
SLC36A4,2
SLC35G6,2
SLC35G2,2
SLC35E4,2
SLC35D2,2
SLC35B3,2
SLC35A5,2
SLC34A3,2
SMPDL3A,2
SMTNL1,2
SMYD4,2
SPATA33,2
SRI,2
SRARP,2
SPX,2
SPPL2B,2
SPOCD1,2
SPINT3,2
SPINK9,2
SPEM2,2
SPEF2,2
SPDYE21,2
SPDYE12,2
SPATC1L,2
SPATA6,2
SPATA45,2
SPATA24,2
SNAPC1,2
SPATA22,2
SPATA21,2
SPATA19,2
SPATA18,2
SPATA17,2
SPATA1,2
SPAG17,2
SPAG11B,2
SPAG1,2
SP100,2
SOX3,2
SOAT1,2
SNX31,2
SNTG2,2
SLC34A1,2
SLC30A8,2
SLC2A7,2
SH2D2A,2
SIPA1L3,2
SIGLEC8,2
SIGLEC7,2
SIGLEC1,2
SIGIRR,2
SHROOM1,2
SHMT1,2
SHE,2
SH3TC2,2
SH3D19,2
SH3BGR,2
SH2D5,2
SH2D4B,2
SH2D3A,2
SGK2,2
SIRPG,2
SFTPD,2
SFTPA2,2
SFT2D3,2
SERPINE3,2
SERPIND1,2
SERPINB8,2
SERPINB7,2
SERPINB3,2
SERPINB13,2
SERPINA4,2
SERINC4,2
SEPTIN6,2
SEPTIN14,2
SEMA4A,2
SIRPB2,2
SIX4,2
SLC2A6,2
SLC22A16,2
SLC2A4RG,2
SLC2A4,2
SLC29A3,2
SLC28A1,2
SLC27A5,2
SLC26A11,2
SLC25A52,2
SLC25A31,2
SLC25A29,2
SLC25A24,2
SLC24A1,2
SLC22A4,2
SLC22A31,2
SLC22A3,2
SLC22A13,2
SLA2,2
SLC22A12,2
SLC1A5,2
SLC18B1,2
SLC17A9,2
SLC17A3,2
SLC16A5,2
SLC15A2,2
SLC15A1,2
SLC12A8,2
SLC12A3,2
SLC12A1,2
SLC10A6,2
SLC10A2,2
SLC10A1,2
SRSF8,2
SSTR4,2
SSTR5,2
TGM5,2
TKFC,2
TJP3,2
TIMP1,2
TIMM17B,2
TIMD4,2
TIGD7,2
TIFA,2
TIAM2,2
THYN1,2
THUMPD2,2
THNSL1,2
THEMIS2,2
THAP9,2
THAP5,2
TGFBR3,2
TLR3,2
TG,2
TFG,2
TEX9,2
TEX55,2
TEX51,2
TEX48,2
TEX47,2
TEX45,2
TEX43,2
TEX35,2
TEX33,2
TET2,2
TESPA1,2
TES,2
TLCD5,2
TLR4,2
TEKT5,2
TMEM176B,2
TMEM270,2
TMEM26,2
TMEM248,2
TMEM236,2
TMEM234,2
TMEM232,2
TMEM230,2
TMEM225B,2
TMEM223,2
TMEM221,2
TMEM212,2
TMEM207,2
TMEM185A,2
TMEM179B,2
TMEM175,2
TLR5,2
TMEM168,2
TMEM140,2
TMEM132C,2
TMEM132A,2
TMEM129,2
TMEM119,2
TMED6,2
TMED4,2
TMC8,2
TMC6,2
TMC5,2
TMC4,2
TMC1,2
TLR9,2
TEPP,2
TEKT2,2
SSU72P3,2
STOML3,2
SUPT20HL1,2
SUN5,2
SUN3,2
SULT6B1,2
SULT1E1,2
SULT1A1,2
SUCO,2
SUCNR1,2
SUCLG2,2
STX19,2
STX10,2
STPG3,2
STOX1,2
STON1,2
STOML1,2
SUSD3,2
STK26,2
STK17A,2
STK10,2
STEAP4,2
STEAP2,2
STARD7,2
STARD6,2
STARD5,2
STAP2,2
STAB1,2
ST6GALNAC4,2
ST6GALNAC2,2
SSX3,2
SSUH2,2
SUSD1,2
SYCE1,2
TEKT1,2
TBCE,2
TECTB,2
TECTA,2
TECRL,2
