#id: 1825491670
#name: H.sapiens - Whole organism (Integrated)
#score: 31.9
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 31.9, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.747;9606-PA_201408:0.075;HsapiensBuild242_May2010.peptides.new:0.043;peptideatlaBuild_March2009.peptides.new:0.041;Human_iBAQ_Khan_2013:0.038;9606_GPM_201408:0.036;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;
#publication_year: 2025
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
CMA1	9606.ENSP00000250378	5.35
ANKFY1	9606.ENSP00000459943	5.35
HEATR1	9606.ENSP00000355541	5.35
TIMM10B	9606.ENSP00000254616	5.35
POP7	9606.ENSP00000304353	5.35
UBE4A	9606.ENSP00000387362	5.35
MYH8	9606.ENSP00000384330	5.34
MRPS30	9606.ENSP00000424328	5.34
GTF3C4	9606.ENSP00000361219	5.33
KRTAP3-2	9606.ENSP00000375429	5.33
CDK11B	9606.ENSP00000464036	5.33
IWS1	9606.ENSP00000295321	5.33
TMED7-TICAM2	9606.ENSP00000282382	5.33
ENSP00000492220	9606.ENSP00000492220	5.33
KRTAP10-11	9606.ENSP00000334197	5.32
ITGA4	9606.ENSP00000380227	5.32
ZMAT2	9606.ENSP00000274712	5.32
C11orf98	9606.ENSP00000432523	5.3
EIPR1	9606.ENSP00000381652	5.3
DDX19B-2	9606.ENSP00000399208	5.3
COL4A1	9606.ENSP00000364979	5.29
POLR2A	9606.ENSP00000461879	5.29
SAAL1	9606.ENSP00000432487	5.28
ANXA8L1	9606.ENSP00000480221	5.28
CTBP2	9606.ENSP00000311825	5.28
CMTR1	9606.ENSP00000362550	5.28
LPCAT3	9606.ENSP00000261407	5.28
SIN3A	9606.ENSP00000378402	5.28
ARL2BP	9606.ENSP00000219204	5.28
PPP1R9B	9606.ENSP00000478767	5.27
CSF1	9606.ENSP00000327513	5.27
SEC61G	9606.ENSP00000388337	5.27
WDR3	9606.ENSP00000308179	5.27
IKBIP	9606.ENSP00000299157	5.27
CD99L2	9606.ENSP00000480322	5.26
SIRT5	9606.ENSP00000476228	5.26
GNG4	9606.ENSP00000398629	5.25
ADM	9606.ENSP00000436607	5.25
TMEM165	9606.ENSP00000370736	5.25
H0Y858_HUMAN	9606.ENSP00000417517	5.25
PTPRF	9606.ENSP00000353030	5.25
KANK2	9606.ENSP00000468002	5.24
KRT74	9606.ENSP00000307240	5.24
CADM2	9606.ENSP00000384193	5.24
RCOR1	9606.ENSP00000262241	5.24
KIAA2013	9606.ENSP00000365756	5.23
MRPL32	9606.ENSP00000223324	5.23
VPS33B	9606.ENSP00000327650	5.23
TOMM5	9606.ENSP00000438204	5.22
CDK9	9606.ENSP00000362361	5.22
LIG3	9606.ENSP00000367787	5.22
TG	9606.ENSP00000220616	5.2
TRAPPC1	9606.ENSP00000302783	5.2
CAPNS2	9606.ENSP00000400882	5.2
STX6	9606.ENSP00000258301	5.2
UTP6	9606.ENSP00000261708	5.2
EEFSEC	9606.ENSP00000254730	5.2
ARMC6	9606.ENSP00000444156	5.19
ANAPC7	9606.ENSP00000394394	5.19
CHGB	9606.ENSP00000368244	5.18
IRS4	9606.ENSP00000361202	5.18
WASHC2A	9606.ENSP00000282633	5.18
WDFY1	9606.ENSP00000233055	5.18
PITPNC1	9606.ENSP00000464006	5.17
COX19	9606.ENSP00000342015	5.17
TLE3	9606.ENSP00000452871	5.17
CAV2	9606.ENSP00000222693	5.16
ASF1B	9606.ENSP00000263382	5.16
TRIM29	9606.ENSP00000343129	5.15
ANP32D	9606.ENSP00000266594	5.14
TSC22D4	9606.ENSP00000300181	5.14
TSPAN7	9606.ENSP00000367743	5.13
UTP3	9606.ENSP00000254803	5.13
WRNIP1	9606.ENSP00000370150	5.12
ACTR8	9606.ENSP00000336842	5.12
WASHC5	9606.ENSP00000318016	5.12
ATP13A1	9606.ENSP00000349877	5.11
PPAN	9606.ENSP00000253107	5.11
SLC5A6	9606.ENSP00000310208	5.11
UAP1L1	9606.ENSP00000386935	5.1
METTL3	9606.ENSP00000298717	5.1
NOP53	9606.ENSP00000246802	5.1
PPP2R5C	9606.ENSP00000412324	5.09
UBE3A	9606.ENSP00000497594	5.08
MAP4K1	9606.ENSP00000465039	5.08
MPZL1	9606.ENSP00000352513	5.08
EBI3	9606.ENSP00000221847	5.08
KRT71	9606.ENSP00000267119	5.07
NELFCD	9606.ENSP00000473290	5.07
LDAH	9606.ENSP00000237822	5.07
STON2	9606.ENSP00000450857	5.07
SELE	9606.ENSP00000331736	5.07
PPFIBP1	9606.ENSP00000314724	5.07
MEPCE	9606.ENSP00000308546	5.06
NDUFB3	9606.ENSP00000407336	5.06
KPNA5	9606.ENSP00000357552	5.06
KCMF1	9606.ENSP00000386738	5.05
DERL2	9606.ENSP00000158771	5.05
MVB12A	9606.ENSP00000324810	5.04
CCDC91	9606.ENSP00000438040	5.04
SLC16A3	9606.ENSP00000463978	5.04
TPSAB1	9606.ENSP00000343577	5.03
CMC4	9606.ENSP00000358496	5.02
GTF3C2	9606.ENSP00000352536	5.02
TSSC4	9606.ENSP00000331087	5.02
MYO9B	9606.ENSP00000471457	5.02
COL3A1	9606.ENSP00000304408	5.01
NAXD	9606.ENSP00000311984	5.01
DDA1	9606.ENSP00000352928	5.0
WNK1	9606.ENSP00000341292	5.0
FCER2	9606.ENSP00000264072	4.99
IVL	9606.ENSP00000357753	4.99
UBL5	9606.ENSP00000351492	4.98
DDX19B	9606.ENSP00000455813	4.98
MARCHF5	9606.ENSP00000351813	4.97
CES2	9606.ENSP00000499140	4.97
CHAF1B	9606.ENSP00000315700	4.97
UBXN6	9606.ENSP00000301281	4.97
MYOM1	9606.ENSP00000348821	4.97
ARHGAP25	9606.ENSP00000386911	4.97
ALDH1A3	9606.ENSP00000332256	4.97
CBR4	9606.ENSP00000303525	4.96
NUDT16	9606.ENSP00000422375	4.96
TXNDC9	9606.ENSP00000264255	4.96
KIF5C	9606.ENSP00000393379	4.96
MBNL2	9606.ENSP00000365861	4.96
YME1L1	9606.ENSP00000318480	4.95
ANKRD1	9606.ENSP00000360762	4.95
PI4KA	9606.ENSP00000255882	4.95
SLC1A2	9606.ENSP00000278379	4.95
PCID2	9606.ENSP00000479494	4.95
CIB1	9606.ENSP00000479860	4.95
DHRS1	9606.ENSP00000380027	4.94
SLC25A20	9606.ENSP00000326305	4.94
BCKDHA	9606.ENSP00000269980	4.94
AQR	9606.ENSP00000156471	4.94
NRCAM	9606.ENSP00000368314	4.93
C11orf68	9606.ENSP00000398350	4.93
LRMDA	9606.ENSP00000480240	4.92
ARAF	9606.ENSP00000290277	4.92
NCSTN	9606.ENSP00000294785	4.92
OSBPL9	9606.ENSP00000412733	4.91
DNAAF5	9606.ENSP00000297440	4.9
CSTF2T	9606.ENSP00000332444	4.9
AKAP1	9606.ENSP00000478212	4.9
RBIS	9606.ENSP00000484492	4.9
CLPS	9606.ENSP00000259938	4.9
TFPI2	9606.ENSP00000222543	4.89
NDUFAF1	9606.ENSP00000260361	4.89
MED22	9606.ENSP00000482438	4.89
PAK1IP1	9606.ENSP00000368887	4.88
MORF4L2	9606.ENSP00000394417	4.88
QTRT1	9606.ENSP00000250237	4.88
MFAP2	9606.ENSP00000364685	4.87
UBAP2	9606.ENSP00000354039	4.87
DDX41	9606.ENSP00000330349	4.87
ENSP00000498782	9606.ENSP00000498782	4.87
PTGES3L-AARSD1	9606.ENSP00000409924	4.86
CMSS1	9606.ENSP00000410396	4.86
ROBO4	9606.ENSP00000304945	4.86
SAP30BP	9606.ENSP00000462116	4.86
EXOC2	9606.ENSP00000230449	4.86
INHBE	9606.ENSP00000266646	4.85
FAM207A	9606.ENSP00000291634	4.85
ITGA1	9606.ENSP00000282588	4.85
PIGT	9606.ENSP00000279036	4.85
BCL7C	9606.ENSP00000369674	4.85
PLA2G2A	9606.ENSP00000383364	4.84
YAF2	9606.ENSP00000328004	4.84
ACAD8	9606.ENSP00000281182	4.84
ABRAXAS2	9606.ENSP00000298492	4.84
COA4	9606.ENSP00000443795	4.84
COG5	9606.ENSP00000297135	4.83
GAGE13	9606.ENSP00000483811	4.83
MYH13	9606.ENSP00000404570	4.83
TBC1D22A	9606.ENSP00000336724	4.82
GPALPP1	9606.ENSP00000368447	4.81
MELTF	9606.ENSP00000296350	4.81
SNTA1	9606.ENSP00000217381	4.81
CD3G	9606.ENSP00000431445	4.81
DIO1	9606.ENSP00000354643	4.8
MED20	9606.ENSP00000265350	4.79
AKR1B15	9606.ENSP00000389289	4.78
NMD3	9606.ENSP00000417559	4.78
HOXD4	9606.ENSP00000302548	4.78
MRPS24	9606.ENSP00000318158	4.78
MAGT1	9606.ENSP00000354649	4.78
SERPINB12	9606.ENSP00000372218	4.78
PAF1	9606.ENSP00000221265	4.77
ZMYND8	9606.ENSP00000439800	4.77
CDK11A	9606.ENSP00000367900	4.77
PDZD11	9606.ENSP00000239666	4.77
HSF1	9606.ENSP00000431512	4.76
SLC12A2	9606.ENSP00000262461	4.76
SMIM20	9606.ENSP00000427407	4.76
CXCL8	9606.ENSP00000306512	4.76
TIMM17B	9606.ENSP00000379999	4.76
GCLC	9606.ENSP00000497574	4.75
FAM122B	9606.ENSP00000487221	4.75
ART3	9606.ENSP00000348064	4.75
PADI2	9606.ENSP00000364635	4.74
WDHD1	9606.ENSP00000353793	4.74
FAM120B	9606.ENSP00000440125	4.74
NDUFC2	9606.ENSP00000281031	4.74
TPMT	9606.ENSP00000312304	4.74
COMMD3-BMI1	9606.ENSP00000473391	4.73
NT5E	9606.ENSP00000257770	4.73
DCTN5	9606.ENSP00000300087	4.73
CD34	9606.ENSP00000310036	4.73
NUBPL	9606.ENSP00000281081	4.72
OTULIN	9606.ENSP00000284274	4.72
NFASC	9606.ENSP00000344786	4.72
SP100	9606.ENSP00000343023	4.72
CFAP298	9606.ENSP00000290155	4.72
PRKAB1	9606.ENSP00000441369	4.72
CALHM4	9606.ENSP00000385836	4.71
DOK7	9606.ENSP00000344432	4.71
GTF3C5	9606.ENSP00000361180	4.71
TFIP11	9606.ENSP00000384421	4.71
ABHD16A	9606.ENSP00000379282	4.71
SGPL1	9606.ENSP00000362298	4.71
WDR11	9606.ENSP00000263461	4.71
KATNAL1	9606.ENSP00000369989	4.7
AUH	9606.ENSP00000364883	4.7
MAIP1	9606.ENSP00000295079	4.7
PTGR2	9606.ENSP00000452280	4.7
SIPA1	9606.ENSP00000377771	4.7
SYNPO	9606.ENSP00000377789	4.7
ZNF512	9606.ENSP00000347648	4.69
RAB3C	9606.ENSP00000282878	4.69
PPP1R14C	9606.ENSP00000355260	4.69
SORT1	9606.ENSP00000256637	4.69
CDC42SE1	9606.ENSP00000475845	4.69
MRPL45	9606.ENSP00000484903	4.68
HPD	9606.ENSP00000289004	4.68
FAM107B	9606.ENSP00000181796	4.68
RAI14	9606.ENSP00000427123	4.67
SMPD4	9606.ENSP00000386531	4.67
PPP4R3A	9606.ENSP00000450864	4.66
WDR92	9606.ENSP00000295121	4.66
CDK3	9606.ENSP00000410561	4.66
ZC3HAV1L	9606.ENSP00000275766	4.66
DPP9	9606.ENSP00000262960	4.65
PNKD	9606.ENSP00000273077	4.65
IFITM2	9606.ENSP00000484689	4.65
SCRN3	9606.ENSP00000272732	4.65
B4E171_HUMAN	9606.ENSP00000417050	4.65
GRHL1	9606.ENSP00000324693	4.64
SPTLC2	9606.ENSP00000216484	4.64
RAB9B	9606.ENSP00000243298	4.64
CTDSPL	9606.ENSP00000273179	4.64
FHIT	9606.ENSP00000418582	4.63
ANXA8	9606.ENSP00000478026	4.63
FTCD	9606.ENSP00000380856	4.63
ATL2	9606.ENSP00000368237	4.63
WDR91	9606.ENSP00000346466	4.63
C8orf33	9606.ENSP00000330361	4.63
ENSP00000478249	9606.ENSP00000478249	4.63
SMAP1	9606.ENSP00000359484	4.62
C5orf51	9606.ENSP00000371061	4.61
NOC2L	9606.ENSP00000317992	4.6
PRKD2	9606.ENSP00000393978	4.6
MAP7	9606.ENSP00000482335	4.6
ELOVL1	9606.ENSP00000477602	4.6
LRRC20	9606.ENSP00000348043	4.6
MED7	9606.ENSP00000286317	4.59
MLH1	9606.ENSP00000231790	4.59
GPT	9606.ENSP00000378408	4.59
MED18	9606.ENSP00000362948	4.59
POLA2	9606.ENSP00000265465	4.59
AOC2	9606.ENSP00000253799	4.59
RDH14	9606.ENSP00000370648	4.59
MAPK9	9606.ENSP00000394560	4.59
STAMBPL1	9606.ENSP00000360992	4.58
MAP4K4	9606.ENSP00000343658	4.58
PGM2L1	9606.ENSP00000298198	4.58
CWC27	9606.ENSP00000370460	4.57
MAN2B1	9606.ENSP00000395473	4.57
MT-CYB	9606.ENSP00000354554	4.57
GAGE2A	9606.ENSP00000355421	4.56
PAEP	9606.ENSP00000417898	4.56
ATG4B	9606.ENSP00000384259	4.56
KAT7	9606.ENSP00000259021	4.55
SYNPO2L	9606.ENSP00000378289	4.55
SMARCA2	9606.ENSP00000371638	4.55
TBC1D10B	9606.ENSP00000386538	4.55
HERC4	9606.ENSP00000378624	4.55
UPF3B	9606.ENSP00000276201	4.54
CC2D1A	9606.ENSP00000313601	4.54
KNOP1	9606.ENSP00000219837	4.54
DMBT1	9606.ENSP00000357905	4.54
JMJD6	9606.ENSP00000394085	4.54
ADGRE5	9606.ENSP00000242786	4.54
VIL1	9606.ENSP00000248444	4.53
UBE2R2	9606.ENSP00000263228	4.53
PLCB3	9606.ENSP00000443631	4.53
GEMIN6	9606.ENSP00000281950	4.53
CASP1	9606.ENSP00000433138	4.52
ZZEF1	9606.ENSP00000371051	4.52
PAK3	9606.ENSP00000353864	4.52
TOE1	9606.ENSP00000361162	4.51
CPA3	9606.ENSP00000296046	4.51
SMARCD1	9606.ENSP00000378414	4.51
TPSB2	9606.ENSP00000482743	4.51
LARS2	9606.ENSP00000498867	4.5
TANK	9606.ENSP00000259075	4.5
SCAF11	9606.ENSP00000358374	4.5
MRPS12	9606.ENSP00000384952	4.49
MAN1A1	9606.ENSP00000357453	4.49
LMO7	9606.ENSP00000366757	4.49
COG4	9606.ENSP00000315775	4.49
CD82	9606.ENSP00000227155	4.49
AGPAT5	9606.ENSP00000285518	4.49
CASQ1	9606.ENSP00000357057	4.49
TCEAL6	9606.ENSP00000361860	4.49
ATP2B2	9606.ENSP00000353414	4.48
ARFGEF1	9606.ENSP00000262215	4.48
PNKP	9606.ENSP00000323511	4.48
PPFIA1	9606.ENSP00000253925	4.48
ZNF787	9606.ENSP00000478557	4.47
BRD3	9606.ENSP00000305918	4.47
RNASE6	9606.ENSP00000302046	4.46
SPTBN2	9606.ENSP00000432568	4.45
GSTT2B	9606.ENSP00000290765	4.45
VSNL1	9606.ENSP00000384719	4.45
CTNNBIP1	9606.ENSP00000366474	4.45
PLOD2	9606.ENSP00000282903	4.45
MRPL33	9606.ENSP00000296102	4.45
CALB2	9606.ENSP00000307508	4.44
PLCD1	9606.ENSP00000430344	4.44
DSC3	9606.ENSP00000353608	4.44
HMG20A	9606.ENSP00000371133	4.44
FUNDC2	9606.ENSP00000358510	4.44
CRIPT	9606.ENSP00000238892	4.44
RFC1	9606.ENSP00000371321	4.44
RPP14	9606.ENSP00000412894	4.43
MAD1L1	9606.ENSP00000385334	4.43
RRP8	9606.ENSP00000254605	4.43
SBSN	9606.ENSP00000430242	4.43
AHCYL2	9606.ENSP00000315931	4.43
G0S2	9606.ENSP00000355996	4.42
VWA5A	9606.ENSP00000407726	4.42
TFCP2	9606.ENSP00000257915	4.42
RBM7	9606.ENSP00000364639	4.42
FST	9606.ENSP00000256759	4.42
UXT	9606.ENSP00000337393	4.41
FCN1	9606.ENSP00000360871	4.41
SUPV3L1	9606.ENSP00000352678	4.41
GRB7	9606.ENSP00000403459	4.4
GLA	9606.ENSP00000218516	4.4
CNOT11	9606.ENSP00000289382	4.4
CETP	9606.ENSP00000200676	4.4
SOAT1	9606.ENSP00000356591	4.4
NOP9	9606.ENSP00000267425	4.39
NAA25	9606.ENSP00000261745	4.39
UBE3C	9606.ENSP00000309198	4.39
ISY1-RAB43	9606.ENSP00000411822	4.39
MICALL1	9606.ENSP00000215957	4.39
DNASE1	9606.ENSP00000385905	4.38
MKKS-2	9606.ENSP00000497510	4.38
ARFIP2	9606.ENSP00000484121	4.38
SLC19A1	9606.ENSP00000308895	4.37
CERT1	9606.ENSP00000383996	4.37
DUSP23	9606.ENSP00000357087	4.37
AGRN	9606.ENSP00000368678	4.37
NUB1	9606.ENSP00000454264	4.36
MNAT1	9606.ENSP00000261245	4.36
NSUN4	9606.ENSP00000419740	4.36
TELO2	9606.ENSP00000262319	4.36
TMOD2	9606.ENSP00000249700	4.36
NDUFC1	9606.ENSP00000441126	4.35
IKZF3	9606.ENSP00000344544	4.34
GBA	9606.ENSP00000314508	4.34
VCAN	9606.ENSP00000265077	4.34
SPART	9606.ENSP00000414147	4.34
EHMT2	9606.ENSP00000379078	4.34
GNL2	9606.ENSP00000362153	4.33
PCM1	9606.ENSP00000327077	4.33
PABPC1L2A	9606.ENSP00000362618	4.33
PABPC1L2B	9606.ENSP00000362621	4.33
F5H5P2_HUMAN	9606.ENSP00000443246	4.33
EGF	9606.ENSP00000265171	4.33
GNAT3	9606.ENSP00000381339	4.33
WASF3	9606.ENSP00000335055	4.32
CASP2	9606.ENSP00000312664	4.32
AAMP	9606.ENSP00000403343	4.32
DNASE2	9606.ENSP00000222219	4.32
CDKN2AIP	9606.ENSP00000427108	4.32
CCDC167	9606.ENSP00000362507	4.31
RTN1	9606.ENSP00000267484	4.31
SLC2A4	9606.ENSP00000320935	4.31
OS9	9606.ENSP00000318165	4.31
UBE2J1	9606.ENSP00000451261	4.31
SUPT4H1	9606.ENSP00000225504	4.31
DENND4C	9606.ENSP00000473469	4.31
AARS2	9606.ENSP00000244571	4.3
PAG1	9606.ENSP00000220597	4.3
TM7SF2	9606.ENSP00000279263	4.3
MRPS18C	9606.ENSP00000295491	4.3
RNF2	9606.ENSP00000356480	4.29
SHPK	9606.ENSP00000225519	4.29
NEU2	9606.ENSP00000233840	4.29
RHOF	9606.ENSP00000267205	4.29
RIF1	9606.ENSP00000243326	4.28
MYD88	9606.ENSP00000498321	4.28
CDC26	9606.ENSP00000363322	4.28
TSKU	9606.ENSP00000434847	4.28
DHX36	9606.ENSP00000417078	4.28
EMC10	9606.ENSP00000334037	4.27
CLSTN1	9606.ENSP00000366513	4.27
PPP1R10	9606.ENSP00000365694	4.27
GINS1	9606.ENSP00000262460	4.26
EFL1	9606.ENSP00000268206	4.26
NUP188	9606.ENSP00000361658	4.26
TRMT61A	9606.ENSP00000374399	4.26
L2HGDH	9606.ENSP00000267436	4.26
SMAD4	9606.ENSP00000341551	4.25
RBM15	9606.ENSP00000358799	4.25
PKIB	9606.ENSP00000480824	4.25
GCHFR	9606.ENSP00000260447	4.25
PTBP2	9606.ENSP00000359216	4.25
CNOT2	9606.ENSP00000229195	4.24
VGF	9606.ENSP00000249330	4.24
RBPJ	9606.ENSP00000345206	4.23
FAM114A1	9606.ENSP00000351740	4.23
RABGGTB	9606.ENSP00000317473	4.23
BCL10	9606.ENSP00000498104	4.23
C17orf75	9606.ENSP00000464275	4.23
FGD3	9606.ENSP00000336914	4.23
FGFR1	9606.ENSP00000393312	4.22
ABHD17B	9606.ENSP00000366240	4.22
TAP2	9606.ENSP00000364032	4.22
DTX3L	9606.ENSP00000296161	4.22
ALDH1L1	9606.ENSP00000273450	4.22
C16orf58	9606.ENSP00000317579	4.21
CTNNA2	9606.ENSP00000384638	4.21
STX18	9606.ENSP00000305810	4.21
TCN1	9606.ENSP00000257264	4.2
PI4K2A	9606.ENSP00000359665	4.2
RAB23	9606.ENSP00000417610	4.2
ANKRD44	9606.ENSP00000282272	4.2
SPANXA2	9606.ENSP00000359549	4.19
SPANXA1	9606.ENSP00000359550	4.19
TMEM199	9606.ENSP00000292114	4.19
ISY1	9606.ENSP00000273541	4.18
RBMS1	9606.ENSP00000294904	4.18
AIDA	9606.ENSP00000339161	4.18
CD47	9606.ENSP00000355361	4.18
K7N7A8_HUMAN	9606.ENSP00000421315	4.18
MSMO1	9606.ENSP00000261507	4.18
NR2C2AP	9606.ENSP00000402756	4.18
MLST8	9606.ENSP00000457870	4.17
RBBP6	9606.ENSP00000317872	4.17
THBS3	9606.ENSP00000357362	4.16
ASCC1	9606.ENSP00000339404	4.16
WDR70	9606.ENSP00000265107	4.16
MICAL1	9606.ENSP00000486901	4.15
TNS3	9606.ENSP00000312143	4.15
IL1F10	9606.ENSP00000376893	4.15
CLDN11	9606.ENSP00000064724	4.15
FAM126A	9606.ENSP00000403396	4.15
FGR	9606.ENSP00000363117	4.14
NCDN	9606.ENSP00000362340	4.14
PRSS23	9606.ENSP00000280258	4.14
SLC25A10	9606.ENSP00000446242	4.14
MXRA7	9606.ENSP00000465103	4.14
TERF2	9606.ENSP00000254942	4.14
AGO2	9606.ENSP00000220592	4.13
TRIP12	9606.ENSP00000373696	4.12
CHRDL1	9606.ENSP00000361112	4.12
RTF1	9606.ENSP00000374280	4.12
NCF1	9606.ENSP00000289473	4.11
FKBP9	9606.ENSP00000439250	4.11
C1orf35	9606.ENSP00000272139	4.11
ACSS2	9606.ENSP00000253382	4.11
GTF2E1	9606.ENSP00000283875	4.1
CCDC90B	9606.ENSP00000434724	4.1
PPWD1	9606.ENSP00000261308	4.1
APOBEC3C	9606.ENSP00000355340	4.1
STX3	9606.ENSP00000338562	4.1
FGL2	9606.ENSP00000248598	4.1
TMX2	9606.ENSP00000278422	4.1
SLC4A7	9606.ENSP00000390394	4.1
MRPL52	9606.ENSP00000347277	4.09
STRN3	9606.ENSP00000350071	4.09
NCOR1	9606.ENSP00000268712	4.09
NLE1	9606.ENSP00000413572	4.09
UBE2Q1	9606.ENSP00000292211	4.09
LTBP2	9606.ENSP00000261978	4.08
NMRAL1	9606.ENSP00000458762	4.08
TMEM230	9606.ENSP00000341364	4.08
INPP1	9606.ENSP00000376142	4.08
MEAK7	9606.ENSP00000343635	4.07
VTI1B	9606.ENSP00000450731	4.07
I3L4J1_HUMAN	9606.ENSP00000461295	4.06
CXorf38	9606.ENSP00000330488	4.06
IRF3	9606.ENSP00000471896	4.05
HDDC3	9606.ENSP00000377814	4.05
GLMN	9606.ENSP00000359385	4.05
ATF2	9606.ENSP00000264110	4.05
GALNT7	9606.ENSP00000265000	4.05
POLD3	9606.ENSP00000263681	4.05
VPS51	9606.ENSP00000279281	4.04
TUBGCP2	9606.ENSP00000446093	4.04
WARS2	9606.ENSP00000235521	4.03
ADAM12	9606.ENSP00000357668	4.03
CUTC	9606.ENSP00000359507	4.03
PNLIP	9606.ENSP00000358223	4.03
BCKDK	9606.ENSP00000378405	4.03
TWISTNB	9606.ENSP00000222567	4.03
H4C7	9606.ENSP00000477870	4.02
CDK2AP1	9606.ENSP00000261692	4.02
NFIC	9606.ENSP00000396843	4.02
WASHC4	9606.ENSP00000484713	4.02
MIA3	9606.ENSP00000340900	4.02
PREX1	9606.ENSP00000361009	4.02
MAP1A	9606.ENSP00000300231	4.01
C1orf116	9606.ENSP00000352447	4.01
NCAPD3	9606.ENSP00000433681	4.01
RBM34	9606.ENSP00000386226	4.01
OPTN	9606.ENSP00000368022	4.01
SCAMP4	9606.ENSP00000316007	4.01
RBX1	9606.ENSP00000216225	4.01
MED11	9606.ENSP00000293777	4.0
CFAP36	9606.ENSP00000342699	4.0
CTR9	9606.ENSP00000355013	4.0
TIMM23B	9606.ENSP00000363211	4.0
FLG2	9606.ENSP00000373370	4.0
DAPP1	9606.ENSP00000423602	4.0
MTMR2	9606.ENSP00000345752	4.0
KIAA0513	9606.ENSP00000457408	4.0
RPRD2	9606.ENSP00000358064	4.0
MPLKIP	9606.ENSP00000304553	3.99
TOMM6	9606.ENSP00000381859	3.99
IMPA2	9606.ENSP00000269159	3.99
RAB34	9606.ENSP00000413156	3.99
POGZ	9606.ENSP00000271715	3.99
PWP2	9606.ENSP00000291576	3.98
SMAD2	9606.ENSP00000262160	3.98
RCN3	9606.ENSP00000270645	3.98
DDR1	9606.ENSP00000427552	3.97
RABAC1	9606.ENSP00000222008	3.97
ASPRV1	9606.ENSP00000315383	3.97
P2RX1	9606.ENSP00000225538	3.97
TFPT	9606.ENSP00000375639	3.97
CYBB	9606.ENSP00000367851	3.96
PLEKHB1	9606.ENSP00000346127	3.96
MEGF9	9606.ENSP00000363040	3.96
MT1H	9606.ENSP00000330587	3.96
BMS1	9606.ENSP00000363642	3.95
DIDO1	9606.ENSP00000266070	3.95
GDF15	9606.ENSP00000252809	3.95
MGME1	9606.ENSP00000366939	3.95
KIF5A	9606.ENSP00000408979	3.94
BAK1	9606.ENSP00000363591	3.94
SRPK2	9606.ENSP00000377262	3.94
TRABD	9606.ENSP00000379173	3.94
GGA3	9606.ENSP00000438085	3.94
HKDC1	9606.ENSP00000346643	3.93
SHOX2	9606.ENSP00000374240	3.93
PGA4	9606.ENSP00000367391	3.93
DESI1	9606.ENSP00000263256	3.93
NKRF	9606.ENSP00000442308	3.93
NARS2	9606.ENSP00000281038	3.93
CYP51A1	9606.ENSP00000003100	3.93
RNF181	9606.ENSP00000306906	3.92
MAGEB2	9606.ENSP00000368273	3.92
B3GAT3	9606.ENSP00000265471	3.92
MEA1	9606.ENSP00000495612	3.92
CXCR4	9606.ENSP00000386884	3.92
AKAP17A	9606.ENSP00000324827	3.91
HDAC6	9606.ENSP00000365804	3.91
ERAL1	9606.ENSP00000254928	3.91
CREG1	9606.ENSP00000359540	3.9
SYNJ2BP-COX16	9606.ENSP00000482133	3.9
SRA1	9606.ENSP00000337513	3.9
ATP2B3	9606.ENSP00000263519	3.9
EPS8L1	9606.ENSP00000201647	3.89
CXCL2	9606.ENSP00000427279	3.89
DNAJC10	9606.ENSP00000264065	3.89
CCDC93	9606.ENSP00000365477	3.89
CIAO2A	9606.ENSP00000300030	3.89
CNNM3	9606.ENSP00000305449	3.89
CD200	9606.ENSP00000420298	3.89
ABCA13	9606.ENSP00000411096	3.89
KRT23	9606.ENSP00000209718	3.88
GFM2	9606.ENSP00000427004	3.88
PHF3	9606.ENSP00000262043	3.88
GOLIM4	9606.ENSP00000417354	3.88
CD300A	9606.ENSP00000353259	3.87
WDR48	9606.ENSP00000307491	3.87
IRS4-2	9606.ENSP00000457111	3.87
PGA3	9606.ENSP00000322192	3.87
DSC2	9606.ENSP00000280904	3.86
KLC4	9606.ENSP00000259708	3.86
HAMP	9606.ENSP00000471894	3.86
ECSIT	9606.ENSP00000270517	3.85
SPRYD7	9606.ENSP00000354774	3.85
POU2F1	9606.ENSP00000356840	3.85
TMEM30A	9606.ENSP00000230461	3.84
CHIT1	9606.ENSP00000356198	3.84
TSR2	9606.ENSP00000364293	3.84
GDA	9606.ENSP00000238018	3.84
CHMP7	9606.ENSP00000380794	3.83
SLC38A1	9606.ENSP00000449756	3.83
UNG	9606.ENSP00000242576	3.83
RBM12B	9606.ENSP00000382239	3.83
RCL1	9606.ENSP00000371169	3.83
SCGB3A1	9606.ENSP00000292641	3.83
SMYD3	9606.ENSP00000419184	3.83
MT-CO1	9606.ENSP00000354499	3.82
SERPINI2	9606.ENSP00000481699	3.82
AAK1	9606.ENSP00000386456	3.81
COG3	9606.ENSP00000258654	3.81
RNF5	9606.ENSP00000364235	3.81
WASHC3	9606.ENSP00000240079	3.81
PTEN	9606.ENSP00000361021	3.81
AKAP8L	9606.ENSP00000380557	3.81
SAP30	9606.ENSP00000296504	3.8
UHRF1	9606.ENSP00000479617	3.8
ESRP1	9606.ENSP00000405738	3.8
