gene_symbol,gc_content
A1BG,0.5718675315807443
A1BG-AS1,0.5593176531403463
A1CF,0.3623865441014525
A2M,0.3717621381213194
A2M-AS1,0.46299971647292315
A2ML1,0.4423044065795809
A2MP1,0.3702865602199429
A3GALT2,0.5418963231703063
A4GALT,0.5238878607169786
A4GNT,0.42682645770914956
AA06,0.4604932058379467
AAAS,0.4939399161353323
AACS,0.5119897304236201
AACSP1,0.4880634624358376
AADAC,0.3530105438401776
AADACL3,0.4611493162595842
AADACL4,0.47359951287404317
AADACP1,0.33950020709650697
AADAT,0.387794650231908
AAGAB,0.3946707256689101
AAK1,0.41948574782877984
AAMDC,0.41824216020714317
AAMP,0.564297520661157
AANAT,0.5301485059939166
AAR2,0.47453144762561805
AARD,0.43161916892214613
AARS1,0.4957720344599072
AARS2,0.5442977355134433
AARSD1,0.482144135117727
AASDH,0.389805371581813
AASDHPPT,0.3656192077244709
AASS,0.3653136994205153
AATBC,0.6017621145374449
AATK,0.6150892616847582
ABALON,0.5654230162900683
ABAT,0.4734497181305692
ABCA1,0.4341556235134217
ABCA10,0.3613225036616718
ABCA11P,0.3969573786646957
ABCA12,0.3718424801410049
ABCA13,0.38837492647676664
ABCA17P,0.4385037121644774
ABCA2,0.6666359191956461
ABCA3,0.5303394690592914
ABCA4,0.464427385730429
ABCA5,0.34611860033279473
ABCA6,0.36300914643795296
ABCA7,0.6053331248045042
ABCA8,0.3680990647416689
ABCA9,0.3768013693877079
ABCA9-AS1,0.38082437275985664
ABCB1,0.3701636179489984
ABCB10,0.43633385557612875
ABCB4,0.38599187198374396
ABCB5,0.3772153781325137
ABCB6,0.5513997069484075
ABCB7,0.35997539859015
ABCB8,0.5703734311244254
ABCB9,0.5247368160925221
ABCC10,0.5293556499869916
ABCC11,0.4568188145296973
ABCC12,0.472523523696714
ABCC13,0.36490213277070543
ABCC2,0.4505181902651705
ABCC3,0.5194599578962019
ABCC4,0.4233652060601972
ABCC5,0.4468297859314736
ABCC5-AS1,0.4216843762298308
ABCC8,0.5003258409659112
ABCC9,0.3612483207605663
ABCD1,0.5835175879396985
ABCD2,0.3495578392168666
ABCD3,0.3706894832366022
ABCD4,0.5139146567717996
ABCE1,0.34737650862758906
ABCF2,0.48295382266887166
ABCF2-H2BK1,0.49125711329539573
ABCF3,0.5175549381156858
ABCG1,0.5101582680716716
ABCG2,0.41383526883848487
ABCG4,0.5445522717247464
ABCG5,0.45184511631431384
ABCG8,0.46222109036770037
ABHD1,0.508115034168565
ABHD10,0.35845114562295427
ABHD11,0.6002174700978615
ABHD11-AS1,0.6173059768064229
ABHD12,0.473775677981976
ABHD12B,0.4292788140227231
ABHD13,0.3540878122634368
ABHD14A,0.5477433220755297
ABHD14A-ACY1,0.5564304461942258
ABHD14B,0.5697360122533561
ABHD15,0.5259590201817902
ABHD16B,0.698859825620389
ABHD17A,0.650972717854265
ABHD17B,0.3813754051946986
ABHD17C,0.4295346203481788
ABHD18,0.39801468224198905
ABHD2,0.44010722647240574
ABHD3,0.4243689680772086
ABHD4,0.48337195038844216
ABHD5,0.4025844930417495
ABHD6,0.4514623358914742
ABHD8,0.5489892853197835
ABI1,0.38438359753701035
ABI2,0.39486307964068346
ABI3,0.5400702301989856
ABI3BP,0.37022835161237516
ABITRAM,0.3870908534720098
ABL1,0.44569449215618917
ABL2,0.41306432434505774
ABLIM1,0.42029381213829947
ABLIM2,0.5399513236152809
ABLIM3,0.4442298001007895
ABRA,0.40243449173016166
ABRACL,0.4413380958922929
ABRAXAS1,0.42229602707106156
ABRAXAS2,0.42598065941633906
ABT1,0.4771587008185899
ABTB1,0.6037287287287287
ABTB2,0.47923429167632736
ACAA1,0.5089795637514621
ACAA2,0.39534444793960366
ACACB,0.46699233801883966
ACAD10,0.4711702202519175
ACAD11,0.3744077688949924
ACAD8,0.4776568085797855
ACAD9,0.4808593046297964
ACADL,0.3654297792390794
ACADM,0.3960804275897175
ACADS,0.5540569020021074
ACADSB,0.40728423101881894
ACADVL,0.5851142225497421
ACAN,0.5026558024416696
ACAP2,0.3816696375519905
ACAP3,0.672938443670151
ACAT1,0.4308453848393672
ACAT2,0.4361378017342395
ACBD3,0.4145210755295628
ACBD3-AS1,0.41236384212759936
ACBD4,0.5444655499913659
ACBD5,0.412390538231525
ACBD6,0.3767220169565627
ACBD7,0.4518869342955946
ACCS,0.4900890078086605
ACCSL,0.4751187796949237
ACD,0.6201573849878934
ACE,0.5447441278913995
ACE2,0.3909789387051695
ACER1,0.4938401656906156
ACER2,0.4341448835551877
ACER3,0.38738331555571626
ACHE,0.6448932817647901
ACIN1,0.4536179860192707
ACKR1,0.5447714464621165
ACKR2,0.4427985370667802
ACKR3,0.5001372872048325
ACKR4,0.35330232558139535
ACLY,0.49891553767327823
ACMSD,0.3951497185386083
ACO1,0.41713341029258766
ACO2,0.49693040616865575
ACOD1,0.4354265402843602
ACOT1,0.49338743612864444
ACOT11,0.5120285549228357
ACOT12,0.4073289293281815
ACOT13,0.4142936025873629
ACOT2,0.4861301156860306
ACOT4,0.4825372367745249
ACOT6,0.47450805008944547
ACOT7,0.5397184534243508
ACOT8,0.49065986611412177
ACOT9,0.44595771999816575
ACOX1,0.4417721855007831
ACOX2,0.47209779768570365
ACOX3,0.5193036189248005
ACOXL,0.4276938300109258
ACOXL-AS1,0.39993356585284834
ACP1,0.41051062243756986
ACP2,0.5275377407600208
ACP3,0.40394659336344
ACP4,0.5802289281997919
ACP5,0.585881811910784
ACP6,0.43649842194113475
ACP7,0.4966824988216526
ACRBP,0.5164013249278769
ACRV1,0.4184753555009088
ACSBG1,0.48233850244819165
ACSBG2,0.4581662287373807
ACSF2,0.4996302990469931
ACSF3,0.5515597977477655
ACSL1,0.4471245647534539
ACSL3,0.39458529475017323
ACSL3-AS1,0.3353566009104704
ACSL4,0.3868664347358102
ACSL5,0.4288478549314463
ACSL6,0.41889605608943886
ACSL6-AS1,0.5211308656368405
ACSM1,0.4047398752247013
ACSM2A,0.4050926565218592
ACSM2B,0.3917466792696881
ACSM3,0.4107580375682586
ACSM4,0.40494157740993186
ACSM5,0.42360783573876676
ACSM6,0.39779435054277407
ACSS1,0.5199711853803719
ACSS2,0.4541985416629342
ACSS3,0.35499820653316677
ACTA1,0.6050802139037433
ACTA2,0.402889844666406
ACTA2-AS1,0.4366746321217457
ACTB,0.5676641595988692
ACTBL2,0.4022906227630637
ACTC1,0.47218045112781953
ACTE1P,0.46934042312478785
ACTG1,0.6065812261863526
ACTG1P17,0.4411448741559239
ACTG1P20,0.5380622837370242
ACTG1P25,0.4635972716488731
ACTG1P4,0.5463458110516934
ACTG2,0.4518365272938444
ACTL10,0.6803537586860392
ACTL6A,0.392524096857613
ACTL6B,0.5307819053325344
ACTL7A,0.5707578806170356
ACTL7B,0.634024303073624
ACTL8,0.48149335712592883
ACTL9,0.66189111747851
ACTN1,0.5080664305451369
ACTN1-DT,0.4731431508609612
ACTN2,0.42492362500124387
ACTN3,0.5648170011806375
ACTR10,0.386674916331524
ACTR1A,0.5048246473354232
ACTR1B,0.5852454971625957
ACTR2,0.39456126627709015
ACTR3,0.36570435933493256
ACTR3-AS1,0.42273060761688785
ACTR3B,0.43356687232040153
ACTR3BP2,0.4246176256372906
ACTR3C,0.42905429618412383
ACTR5,0.4480694900461327
ACTR6,0.40995227400336887
ACTR8,0.41989792536620935
ACTRT1,0.4868238557558946
ACTRT2,0.616562282533055
ACTRT3,0.48163574403634984
ACVR1,0.40419760137064537
ACVR1B,0.4480387836051124
ACVR1C,0.36818546886324904
ACVR2A,0.3545939056887962
ACVR2B,0.47626932973275926
ACVR2B-AS1,0.5648392198207697
ACVRL1,0.5483772942749483
ACY1,0.5727210652099692
ACY3,0.5765655577299413
ACYP1,0.4168154120760756
ACYP2,0.40307597551896623
ADA,0.5346356077280509
ADA2,0.48875966065000126
ADAD1,0.36552117552176566
ADAD2,0.5859724755430277
ADAL,0.39835969537199767
ADAM10,0.3734120994142239
ADAM11,0.5933330416903626
ADAM12,0.43112016314940027
ADAM15,0.5824733824733824
ADAM17,0.4131024074318285
ADAM19,0.44660511978340234
ADAM20,0.3721756991625849
ADAM20P1,0.4064494790805358
ADAM21,0.4162184621776967
ADAM21P1,0.4521852012115967
ADAM22,0.37291579068789604
ADAM23,0.3827394761143269
ADAM28,0.3571274597357805
ADAM29,0.3572852409557417
ADAM30,0.4398256788467985
ADAM33,0.6120291275731691
ADAM3A,0.34991922905525846
ADAM3B,0.36904761904761907
ADAM7,0.367638683883265
ADAM7-AS1,0.37517119397656834
ADAM7-AS2,0.3745773069871664
ADAM8,0.6378988165270953
ADAMDEC1,0.36352340190528787
ADAMTS1,0.4511651993785603
ADAMTS10,0.5457764952780693
ADAMTS14,0.5295988258317026
ADAMTS15,0.5185529088246849
ADAMTS16,0.4223753299069315
ADAMTS16-DT,0.5198265179677819
ADAMTS17,0.4660832395586247
ADAMTS18,0.39744260824048455
ADAMTS19,0.3493963786309774
ADAMTS19-AS1,0.37693897231023554
ADAMTS2,0.5387602351145949
ADAMTS20,0.3537799110609162
ADAMTS3,0.3579806628205084
ADAMTS4,0.5147427641835559
ADAMTS5,0.38458722313747024
ADAMTS6,0.3590789446040164
ADAMTS7,0.5602288601006525
ADAMTS8,0.5331194326001604
ADAMTS9,0.400935322343876
ADAMTS9-AS1,0.3906031301692327
ADAMTS9-AS2,0.3979013977114544
ADAMTSL1,0.38585188194203834
ADAMTSL2,0.5943122059230557
ADAMTSL3,0.3980920532462314
ADAMTSL4,0.6013484311522171
ADAMTSL4-AS1,0.4863816078488798
ADAMTSL4-AS2,0.6100622067008622
ADAMTSL5,0.6093440521962018
ADAP1,0.5906117192530586
ADAP2,0.4894137024147916
ADAR,0.4541332930330966
ADARB1,0.4542787542237473
ADARB2,0.47833591865950986
ADARB2-AS1,0.5199657353716395
ADAT1,0.4458442098891537
ADAT2,0.38379270743611826
ADAT3,0.6025593241396446
ADCK1,0.4762056543074437
ADCK2,0.5076553587511258
ADCY1,0.4764426723588205
ADCY10,0.4175903844319374
ADCY10P1,0.4056613251620033
ADCY2,0.40932009660232654
ADCY3,0.5111755335463891
ADCY5,0.5116880002398153
ADCY6,0.5441561844863732
ADCY6-DT,0.6047516198704104
ADCY7,0.5442992263781441
ADCY8,0.4042492776534962
ADCY9,0.4727026297713669
ADCYAP1,0.5294439879485072
ADCYAP1R1,0.519637666463868
ADD1,0.44844781000313105
ADD2,0.44810968320382544
ADD3,0.3864567019641087
ADD3-AS1,0.41950555083628693
ADGB,0.35783109156751164
ADGB-DT,0.40194746376811596
ADGRA1,0.5978240994697386
ADGRA1-AS1,0.615727002967359
ADGRA2,0.5525318749382269
ADGRA3,0.3904886664015533
ADGRB1,0.6266792215944759
ADGRB2,0.5874738597559361
ADGRB3,0.35141468839783396
ADGRB3-DT,0.3913522445607271
ADGRD1,0.5187483672152823
ADGRD1-AS1,0.48319874967439436
ADGRD2,0.5529909810417817
ADGRE1,0.44413355011910616
ADGRE2,0.46702332734085644
ADGRE3,0.43902920562395115
ADGRE4P,0.4306746302867344
ADGRE5,0.5465721877767936
ADGRF1,0.4034451089756513
ADGRF2,0.4033483180902186
ADGRF3,0.4562039073618838
ADGRF4,0.41296531887825655
ADGRF5,0.41647302337388453
ADGRF5-AS1,0.3912268188302425
ADGRG1,0.5550619891132189
ADGRG2,0.4296150182628196
ADGRG3,0.5234574921808359
ADGRG4,0.39124284038368645
ADGRG5,0.47091090764493565
