Gene,MF.score
NRP2,3.703494162206172e-4
CPNE1,2.6051583826313064e-5
WASF1,6.740543233584803e-5
WASL,1.160211388708335e-4
PLOD3,2.017960153093561e-4
LIMD1,1.834880393452962e-5
KALRN,1.0991104038775142e-5
SEMA5A,1.7029324254133274e-4
ARTN,6.30950258048844e-5
DCLK1,2.0911663140910518e-5
ZMYM4,7.421353066729091e-7
ZMYM3,9.600356565843154e-7
ZMYM6,8.99886483941688e-7
LGI1,1.5916608393546698e-5
MAGI1,1.2987283499504138e-5
RPS6KA5,1.921574605499607e-5
NUMBL,3.171897796746778e-5
B4GALT6,1.0094053404392377e-4
B4GALT5,7.994914606031345e-5
SLIT2,6.382537973904552e-4
LHX2,4.742190895349311e-5
CPNE6,1.987328908267939e-5
NRXN3,3.288495339266716e-5
NTN1,6.832408323636259e-5
MYOT,1.3762999643023093e-5
RIMS2,9.232654336697674e-5
SEMA3E,7.085725388659399e-5
CLSTN3,1.8306781700183457e-4
LZTS3,7.811352068963794e-6
KIAA0319,1.5529110717047332e-4
RHOBTB1,4.556311520871898e-6
PLPPR4,1.5845846986112544e-5
ARHGAP44,1.3703893159481304e-4
WDR1,2.2281237198555718e-4
SLC23A2,1.0690228319610994e-4
ABI1,3.394927493581251e-5
ATP9A,4.9710734962639566e-5
CERT1,1.1973531843688124e-4
UST,1.5608598181363542e-4
FRY,1.9470227550093915e-5
PLXNC1,3.4798969939663676e-5
FARP1,8.266099646124038e-5
WASF2,5.841444645702533e-5
LAMC3,5.058522056163269e-6
SEC24B,2.1209779775030525e-4
CFDP1,1.992773320771244e-5
CDC42EP2,3.7594924540219874e-5
OLFM1,4.5890464020523505e-5
BAIAP2,1.914957079027812e-4
SLC9A6,2.683560168991539e-5
CAP2,5.189285819877961e-5
CAP1,2.6385236811610044e-5
SEMA6C,2.07960620117962e-5
SEMA6B,1.2953609364241025e-5
SEMA4F,2.9701598607858648e-5
SEMA4B,1.72973394223679e-5
SEMA3C,1.531486227391871e-4
CDC42EP3,7.089608735550305e-5
PDLIM5,3.743110650454834e-5
MYL12A,1.5725495964484772e-5
PDPN,1.5813225975624276e-4
POSTN,8.373243977490726e-5
SPINT2,5.951813382952808e-5
GNA13,6.422279901674504e-5
CSPG5,3.4665781371477775e-5
B3GNT2,4.569764967061588e-5
TBR1,5.677475260797411e-5
CHL1,6.542390552291404e-6
NCKAP1,4.308983372207443e-5
WASF3,4.6235943976458165e-5
RAB10,1.2120500675184655e-4
AFG3L2,1.9944539792846798e-4
B4GAT1,2.867236671369658e-5
TRIOBP,6.0846789565165886e-5
CDC42EP1,2.7873799820539333e-5
IL1RAPL1,5.6076500497165634e-5
POPDC1,6.96358486447688e-5
CORO1A,1.33135291734855e-4
LZTS1,1.1735528094210765e-5
KLK8,2.3143693528178105e-5
PACSIN2,4.126312900781296e-5
SCN11A,3.210300691968938e-4
LYPLA2,7.504189688901289e-5
TWF2,5.973715509102916e-5
NTNG1,1.495535164092717e-5
SLITRK3,4.3121062070733694e-5
NLGN1,4.121047434562741e-4
RUFY3,2.231546638065978e-5
BTBD3,2.7226144051576596e-6
TRAK1,4.8295977380338966e-5
RIMS1,8.455211711034976e-5
RAB21,5.824008151630514e-5
PALLD,2.8841177180186823e-5
UNC13A,8.016717624957882e-5
HECW1,6.025118254088288e-6
SIPA1L3,2.3613389326852372e-5
SARM1,1.8531671082832427e-4
FSTL4,1.0541170227858739e-4
NFASC,1.7848609829693853e-5
PLXND1,7.50994023110221e-5
EPB41L3,9.243750704274845e-5
DIP2A,5.2618851503639195e-5
CYFIP1,2.2453144848593611e-4
NBEAL2,7.067886103838019e-6
RHOBTB2,4.556311520871898e-6
VPS13A,1.1494817792267219e-4
ARC,1.2400250669951463e-4
DNMBP,3.386135446449649e-6
KIF13B,8.37339979057492e-6
SZT2,8.062539163179027e-5
SYNE1,2.3067033352413153e-4
ARHGEF18,1.3655077037523137e-5
ADNP,4.6122033097529346e-5
CRB1,1.238917703956006e-4
GRIP1,4.529540838113719e-5
RHOQ,6.09784138937468e-5
MACF1,3.551240878840183e-5
CDC42EP4,2.5283734312897507e-5
CORO1C,1.3561634850558794e-4
PLXNB2,2.5192723957148965e-5
FLRT3,8.629412041898075e-5
FLRT2,2.3136260428581725e-5
FLRT1,1.3668165047532058e-5
NGEF,2.3002555700586015e-5
BAMBI,2.153673266300834e-5
SULT4A1,1.1360144242539403e-05
WHRN,1.189930696659381e-4
PLEKHG4,2.885176780517968e-6
CLIC4,3.601358923032032e-5
ZNF385A,7.681443427727713e-5
TSKU,1.5787905497260894e-4
NSMF,2.8598457995342815e-5
SIPA1L1,1.556104085551926e-5
SS18L1,1.3409085038065893e-5
CNTNAP2,1.5892389610239075e-4
SLITRK5,6.53662673268161e-5
DNM3,3.0661663422057185e-4
AUTS2,2.169314081907821e-5
ARHGEF26,1.0881200764198004e-5
TANC2,2.215217575339441e-5
TIAM2,7.676571412248526e-6
NKX2-8,4.6859318150977554e-6
FBXW8,4.460193879825605e-5
GREM1,3.8515656863330087e-4
CYFIP2,3.455153831570986e-5
NPTN,4.658339082382048e-5
FOXB1,3.095228723872318e-4
STAU2,7.881641923299768e-5
CNTN6,1.3617062593040889e-5
CDH20,8.022686083535523e-6
CDH19,8.022686083535523e-6
DBNL,2.7744732023723282e-5
C1GALT1C1,2.8728653757082022e-5
PARVB,1.79868356641579e-5
EEF2K,3.1770036443024214e-4
PACSIN1,3.363262516693046e-5
SH3KBP1,6.676736134763645e-6
ITSN2,4.906243413076312e-5
F11R,1.1564743937887077e-4
SHANK1,2.44247240737886e-4
WDPCP,1.35200429824233e-4
ATL1,3.552077108492808e-5
SIDT2,8.754273240738723e-5
ABI3,8.301243609171454e-5
CDKL3,2.181950812384902e-5
CLEC1B,4.740752235568404e-6
NRN1,6.357011354543095e-6
SPG21,1.775142151859054e-5
TRPV2,3.1568180890349784e-5
YTHDF2,1.890720480579006e-4
EVL,4.1064678904821655e-5
DCDC2,2.1754618481928356e-5
VPS54,1.935374761037237e-4
SYT17,2.8268403282890522e-5
ATP8A2,1.4040631098833755e-4
CNTN5,7.639739527096352e-6
BRWD1,3.549773570451429e-6
NLGN3,1.1881085291217693e-4
SSH1,1.503040476914298e-4
SEMA5B,2.067838571911405e-5
ROBO4,1.1929805745487987e-5
TMEM106B,2.7715613076268156e-5
FBLIM1,1.243236126980586e-5
ZRANB1,3.9502282950292105e-5
PPP1R12C,1.2617877561363715e-5
PALMD,1.9093705564683277e-6
YTHDF1,2.9270693329927195e-5
ABITRAM,1.465406739339813e-5
ANO1,8.987504073885081e-5
TBCCD1,4.0804017109040134e-5
PLXNA3,2.0760264286360733e-4
DOCK10,2.529690887248248e-5
ARHGEF40,2.885176780517968e-6
ENAH,2.1004709842187147e-5
PARVA,3.2993533013736996e-5
FGD6,4.3110045063920195e-6
ARHGAP15,2.142626208324822e-6
BIN3,9.857800441752584e-5
PCDHAC2,1.1868512080154265e-5
CDC42SE1,7.67638644019129e-6
DPYSL5,1.578258961487821e-5
SEMA3G,2.5127425107448367e-5
LHX9,1.3689927919359978e-4
RGMA,4.876916143408734e-5
PARP6,3.54392059788235e-5
PRDM8,3.368508610161408e-5
CDC42SE2,5.380524040516344e-6
CABP4,4.2232761821968144e-5
RAB25,6.566152932962442e-5
RTN4,4.2324359661403103e-4
CORO1B,1.1491336197452891e-4
ATP10A,9.14780199509577e-5
VANGL2,5.0216488739155376e-5
RHOJ,2.1934057550048935e-5
DSCAML1,1.2478459637778618e-5
AMIGO1,6.429882486789392e-5
STRIP2,3.892704142261566e-6
TBC1D24,5.908278803300302e-5
ERMN,2.2477635042185418e-5
HEG1,1.3518014681332695e-4
KIDINS220,1.0822712608322935e-5
IGSF9,1.7085451430224226e-5
DIP2B,3.510230109565307e-5
ISLR2,9.20665564989551e-6
SHROOM3,1.713867718579954e-5
NYAP2,1.0700452320020372e-6
ALS2,3.603727540117575e-5
LRRC4C,8.15271754119294e-6
SHTN1,2.03625822589975e-4
CPNE5,1.1760769836048066e-5
SEMA4G,1.558263412256956e-5
WDR19,6.295343550233457e-5
SPTBN4,1.1175698860009007e-4
NTN4,1.0279653616779747e-4
CACNG7,8.06631503349324e-5
LGR6,2.8582172547620962e-5
CDH26,1.855417335999735e-5
TNN,1.608688524158806e-4
ZNF335,2.06691491873735e-5
CDH23,8.144111545322837e-5
PARVG,1.5041192476275744e-5
TNMD,1.1003258381765578e-5
SEMA4A,7.690698608681146e-5
ROBO3,4.988080875107298e-5
ARHGEF28,1.1834757464798018e-5
SOX17,3.8520378696041765e-4
CDH24,1.719680716225449e-5
CDH22,8.022686083535523e-6
GORASP1,2.0837601475055228e-5
ISL2,4.053774468504839e-5
BCL11B,2.2404441793662355e-4
RAPH1,3.948135162275706e-6
RTN4R,1.2097250450915926e-4
VPS33A,6.318330444689564e-5
CAPRIN2,2.5168149850103202e-5
TMEM108,5.922143123477361e-5
METRN,8.314431233321945e-6
TCTN1,8.679832971277128e-5
PDZD7,6.0345837655516015e-5
GRHL2,1.0821806861490803e-4
POF1B,9.751188938702874e-6
SEMA6D,3.105105321715757e-5
SPG11,1.979448828963896e-4
PREX2,8.967171230336839e-6
SRCIN1,2.911115418725136e-5
MPIG6B,1.1411709216111275e-5
COL18A1,2.338272943272817e-5
GPRASP3,2.003801501571777e-5
ACTL8,1.676320878348122e-5
UNC93B1,4.234003693441436e-5
DTNBP1,1.7734925514178158e-4
ANKRD27,9.567340336291055e-5
SLITRK6,9.994616736471373e-5
SYT3,2.5123925933292242e-05
LLPH,7.675740535370643e-6
KIRREL3,6.798586391163233e-5
NTNG2,2.242141082587601e-5
SLITRK2,1.1590185983604396e-5
MYPN,2.05231311235395e-5
MFSD2A,4.087675243982616e-4
STRIP1,1.0799984816883709e-5
KNDC1,4.03364306483092e-5
KIAA1755,2.368532798316847e-6
UNK,1.9035461944374046e-5
FGD3,4.781416448176624e-6
LHX4,4.5222862139903754e-5
UNC5A,2.8811597691155465e-5
KIFC2,2.7520234008036246e-5
FMNL3,9.963398903773755e-6
PLXNA4,2.7571510927807677e-4
NEXN,1.2587341342382541e-5
BOC,6.687387169124625e-6
CDHR1,2.4198286650905792e-5
ARHGAP18,7.500173322091201e-6
MYL12B,1.2602538139935466e-5
C12orf57,4.946596698461047e-5
LARP4,9.483467730050712e-6
FMNL2,4.271010247454196e-6
SLITRK1,2.5214760314300562e-5
RNF157,9.83761742898902e-6
ARHGEF25,3.6430502480027663e-6
ARHGAP33,1.2908142748729001e-5
ARAP1,4.027176552443176e-5
ZFYVE27,3.411996888572301e-5
PDZD8,1.4306514907346614e-5
FAT3,1.7974117802424578e-5
FGD4,5.600813625441797e-6
FRMD6,3.5654522379691805e-5
TTC8,9.195911496997006e-5
NRN1L,2.121346480326398e-6
WTIP,9.4325094119391e-6
SYT2,7.215372038286954e-5
FITM2,7.879342227711905e-5
TBC1D20,8.799205196500354e-5
EMB,3.3786953004670775e-5
SHROOM1,8.758927876660687e-6
UNC5D,2.2011695466005426e-5
SLITRK4,4.4239337352427454e-6
CHODL,4.7043314532415e-6
LRATD1,3.330885594524103e-7
GDF7,2.1438370874421025e-4
CPNE9,1.1116772774775279e-5
FGD5,5.9713171160200626e-6
CNTN4,1.8177326598499654e-5
SH3D19,1.093761825691058e-5
PLEKHG4B,3.5483249651163864e-6
PRAG1,7.977247684482084e-6
CFAP418,1.3745239246328535e-5
ZDHHC15,7.252594318726761e-5
SYNE3,3.6829076180628736e-5
STRC,3.544548326500677e-5
DACT2,6.29605187675795e-5
ANKRD24,1.7763718558264237e-5
ASXL1,9.501611014982558e-5
RILPL2,3.799425619793487e-5
ARL13B,7.637857084538079e-5
UNC5B,3.286401873894373e-5
ATOH7,1.0174723886034802e-4
FAM171A1,3.019514266332003e-6
FGD2,6.9940631812096625e-6
PHACTR1,1.4619858489180562e-5
CDHR3,1.0736644873145459e-5
LHFPL5,2.6252548419547312e-5
NYAP1,1.0185326664750934e-6
SEMA3D,1.5612476852027824e-5
BRWD3,1.3511807312380812e-6
HMCN2,1.0269654120710657e-5
NEGR1,4.882679625807283e-5
BCL9L,1.4683982562941259e-5
OR10A4,2.767960567473128e-6
EPHA10,4.317972660980904e-5
EPHA6,4.329053483633197e-5
FRYL,1.1291254647253695e-6
TPRN,4.551930727695909e-5
KLHL10,3.939093483344298e-5
VSIG1,7.070782875426874e-6
PALM3,7.562898186860971e-6
BARHL2,1.3794634960037696e-5
OSTN,3.505629601614337e-5
ACTBL2,2.2503864585128904e-5
ARPIN,6.605500771939118e-5
RILPL1,4.049619058039782e-5
PEAK3,2.54847614758855e-6
DRAXIN,1.0476161009725036e-4
SLC26A5,1.753289992136566e-4
POTEKP,2.243079104979869e-5
POTEE,2.485526750176078e-5
PALM2AKAP2,1.2804209878284339e-6
GRXCR2,4.8165330375905944e-5
C15orf62,2.2743639080456997e-5
DRGX,1.3833603073076925e-5
CLRN2,3.840087326391694e-5
POTEI,2.2062947589368537e-5
POTEJ,2.2062947589368537e-5
POTEF,2.2557452413863623e-5
CRPPA,6.630954971615574e-5
GJE1,9.919235738486699e-6
TUNAR,1.9458587358586514e-5
ARMCX5-GPRASP2,2.3445984199947093e-5
MICOS10-NBL1,8.308053654271782e-5
ANXA11,1.8816211554379233e-5
BCL2L1,1.633908383318491e-4
CXCR5,2.693830393745147e-5
OPN1MW,1.895969988046068e-5
SEPTIN2,5.549044845101029e-5
SEPTIN5,3.673984606064156e-5
SEPTIN4,3.8015448598842834e-5
OPN1LW,1.8935453254057477e-5
SSTR5,4.145558019336668e-5
SVIL,3.941484492968184e-5
PKP4,1.2815012963925313e-5
KLHL21,6.697239007348143e-5
GIPC1,5.947635122199774e-5
SEPTIN9,3.412100564218314e-5
ENTR1,2.3787766464315577e-5
SEPTIN8,2.435227258388046e-5
ATXN10,4.062258096646335e-6
AHCTF1,2.258201111621431e-5
OR1A2,4.438170043621332e-6
CECR2,5.049818387526477e-5
TAS2R13,1.2204163657821579e-5
RXFP3,4.718333961590685e-6
ALKBH4,8.547011377958548e-5
SEPTIN11,3.8408018616963333e-5
KLHL9,5.6784938606065545e-6
SEPTIN3,2.3543811562067066e-5
BIRC6,1.4931890301487596e-5
KIF13A,3.6586318847915876e-5
NOX5,8.828128427321656e-5
OR2A4,1.5847719696900633e-5
CSPP1,4.5699826492548954e-6
TAS1R2,1.1066945830895281e-4
RAB11FIP4,6.870808020998525e-5
KLHL13,5.4463513641136475e-6
MRGPRX2,6.349441353376195e-5
SEPTIN12,2.6531581433847928e-5
SEPTIN10,1.4052076646334392e-5
ROPN1B,1.5102412442276723e-5
CENPV,2.4103580974572486e-5
SEPTIN14,2.210995917806064e-5
OPN1MW2,1.895969988046068e-5
DXO,1.3151169597058678e-4
SSB,1.222816110340814e-4
TESK1,5.700447345562405e-5
HBS1L,4.5210255410939166e-5
XRN2,5.851870944310475e-5
EDC4,2.260033532958645e-5
AGO1,3.467329821724167e-5
PELO,1.6944972563885766e-4
MTPAP,7.465967985000534e-5
EXOSC5,7.172514453750665e-5
EDC3,2.497577819709058e-5
ZCCHC7,1.892543592698201e-4
TENT2,1.1780481581768146e-4
NBDY,3.638662469168466e-5
GRSF1,4.44270805483938e-5
SUPV3L1,2.9867344771205174e-4
LRPPRC,6.496918191887205e-5
SLIRP,4.679693847047166e-5
PNPT1,3.9320389129271987e-4
GARS1,3.2115110253697114e-4
HSD17B10,4.6818947951897264e-4
POLR2A,8.689607766598004e-5
POLR2B,9.236133245861807e-5
POLRMT,1.3478515380870143e-4
MRPL12,9.032111658932396e-6
TFAM,6.0407970046763543e-5
MTERF1,4.688216415561275e-5
TBRG4,3.6739973259521974e-5
PRORP,8.027548144241421e-5
WARS2,1.1356737534915693e-4
POLR3A,6.09139014064086e-5
MTO1,7.768228368193654e-5
POLR1A,1.0628090407900765e-4
MTERF3,9.48700138192667e-6
YARS2,1.377747731564095e-4
TRNT1,2.0547058118262443e-4
MTRES1,1.9424012596145985e-5
TRIT1,7.143751312297117e-5
TRMT10C,2.201570652608504e-4
SARS2,1.1205139682503547e-4
DARS2,1.764475841746241e-4
KANSL3,1.8263602654199508e-5
POLR3B,8.35660161253528e-5
AARS2,1.4607321077494972e-4
TRMT5,1.1146207041540538e-4
MYG1,1.36857195312346e-5
ELAC2,7.043833527976434e-5
FASTKD1,1.2423999661993225e-5
TEFM,7.101550252767726e-5
METTL8,7.87981648594099e-5
TARS2,1.0622892760933067e-4
MTERF2,3.1290566563713046e-5
PUS1,1.4908388634022533e-4
KAT8,2.2184533272354772e-4
POLR1B,1.0447009890561914e-4
EARS2,1.1215979671095778e-4
MTERF4,1.593644369210777e-5
KANSL1,2.5541749261340358e-5
CHCHD10,2.3198057013139515e-4
FASTK,6.139562302518516e-5
FASTKD5,1.4434288470953233e-5
FASTKD3,2.3922826358754196e-5
RNMT,1.3807853363743256e-4
RNGTT,2.1904070717368725e-4
POP7,5.131650735652685e-5
RPP30,5.130695353626988e-5
RPP38,5.1629482160685296e-5
POP4,4.440423407007381e-5
POP1,5.384172534700393e-5
RPP14,3.666494921489086e-5
CMTR1,4.925736009452061e-5
POP5,5.130695353626988e-5
RPP25,4.4968332678706754e-5
THG1L,1.1678695523281684e-4
NCBP3,6.591239551310038e-5
CMTR2,4.9167508624737954e-5
RPP21,4.37497896943006e-5
RAMAC,8.297110499359904e-5
RPP25L,1.8868607729512445e-5
RAMACL,5.118173447460058e-5
NUP155,6.946856607884589e-5
NUP133,3.104218966627013e-5
NUP107,5.091412658915414e-5
ALAD,2.671888396886608e-4
AQP2,1.1841656460428092e-4
AVPR1A,2.832155896987106e-4
BCL2L2,8.740465194192275e-5
CHUK,1.3125271174928448e-4
COL1A2,1.0775513870562156e-4
COL3A1,1.4052350378580993e-4
COL4A1,5.7312390006191475e-5
COL4A6,2.9769314810319674e-5
COL5A2,7.007661857641571e-5
COL16A1,8.480162583714321e-5
CYBB,1.0762693707165259e-4
F7,2.3278894657182428e-4
GDF10,2.6587200067354005e-5
GHSR,6.13741169811388e-4
GIP,1.1819747335827493e-4
GLRA1,0.00024713150330089937
GLRA2,1.0051123470611071e-4
GRIA1,3.53473565667343e-4
GRIN1,2.237306883953375e-4
GRIN2D,9.237785311817382e-5
HMGCS2,2.0343417338925408e-4
HPCA,1.304751710922848e-4
KCNB1,1.4182185143124998e-4
KRT8,3.7688146625872884e-5
MAT2A,9.320210967416373e-5
PIK3CA,2.2746515574641988e-4
PTGS2,5.596240873024709e-4
SIPA1,4.152244678763687e-5
SST,3.91184667052693e-5
TMBIM6,1.9003832934767886e-4
UMOD,3.9587596084959397e-4
SOCS1,9.6304432606853e-5
PKD2L1,1.0481082784280987e-4
TOMM20,1.6448116369612912e-4
TOMM70,1.1795233041870273e-4
RRAGB,3.079967335881586e-5
LAMTOR5,6.363519687023089e-5
RRAGA,5.773120796532279e-5
SH3BP4,1.5429580625249077e-5
LARS1,1.4078177523423852e-4
CRLS1,2.0400457864090421e-4
STAMBPL1,2.5395712255458423e-5
MEAK7,4.786973095225597e-5
RRAGD,3.932105341174345e-5
RRAGC,4.40219794092092e-5
CPEB1,2.8257935514773247e-5
CPEB4,2.5068278256474544e-5
PNPLA3,2.0877519131486867e-4
LRP11,1.9137155937672504e-5
SLC38A9,2.1043480516055234e-4
SAMTOR,3.192316078082118e-5
SPAAR,6.962316394413024e-5
UBR1,3.5020345595140565e-5
GPRC6A,2.028742393297362e-5
HCN1,2.0971616243166798e-4
CASTOR3P,2.9569132385106137e-5
LAMTOR4,3.200899769758061e-5
MIR224,6.62783470892709e-6
MIR95,3.6038463716569383e-6
MIR342,1.4049599744536293e-4
MIR455,2.742092634589737e-5
CASTOR1,5.2654704967882086e-5
MIR545,3.6038463716569383e-6
MIR421,3.7273302780675147e-6
CASTOR2,3.7894216165651534e-5
MIR762,4.6760632214975026e-6
SUB1,3.824545065977173e-5
RPRD1A,4.809030713884216e-5
RPRD1B,4.880631254663072e-5
TAF8,1.2277477029203952e-4
PWWP2A,1.6830277343527923e-4
TBP,1.0984897246448492e-4
UBTF,7.886414300194062e-5
TAF1C,4.510805409066849e-5
TAF1B,9.243965470176622e-5
RRN3,5.74524840775725e-5
POLR1E,7.512188097925128e-5
UBTFL1,3.4104933086096484e-5
UBTFL6,2.9584376568150018e-5
POLR2I,1.1610100763039898e-4
SLC19A1,3.1011551175532173e-4
ABCC4,2.892167743292393e-4
LRRC8B,4.4500815190176414e-5
LRRC8A,1.2887342746908316e-4
SLC46A2,1.3329829792518716e-4
SLC17A9,2.1418895035595653e-4
LRRC8E,4.90099022762275e-5
LRRC8C,6.508556966879046e-5
ACP5,8.059869642043403e-5
ACTN3,4.661353273824752e-4
ACVR2A,1.4998790754854676e-4
ACVRL1,1.7297121890166002e-4
ACAN,2.2799562416615107e-5
AHSG,2.5417853839102063e-5
ALPL,2.6801028254262363e-4
ALX3,1.0720133089532036e-5
AMELX,4.9711444008549334e-5
ANXA2,4.585089511579684e-4
ARSL,7.658837613200242e-6
ATP6AP1,6.095026188948068e-5
BGLAP,1.6720134018532174e-4
BGN,1.535887718169197e-5
BMP1,1.3367644064225547e-5
BMP3,1.102962905247933e-5
BMP5,3.062902378788502e-4
BMP8B,1.8993028285894293e-6
BMPR1A,7.469349445648143e-4
RUNX2,1.2009529094997635e-4
SERPINH1,2.802307364508497e-5
CDX1,1.7655201785322124e-5
CHAD,5.981528591689406e-5
CMKLR1,7.900505748576686e-5
COL2A1,1.3746384185036375e-4
COL9A2,2.003558011950066e-5
COL10A1,8.991097866876164e-5
COL11A1,6.691197758417439e-5
COL11A2,3.742031673375335e-5
COL13A1,1.2343439946746858e-4
COL19A1,4.591788230294276e-6
COMP,7.473980639092482e-5
HAPLN1,2.0941437705431716e-5
VCAN,5.15985437683115e-5
NCAN,2.0250382883363907e-5
DLX3,4.046840959527686e-5
DLX6,7.042678782821993e-6
EPYC,1.0783912384202688e-5
SLC26A2,3.841246096422067e-5
ECM1,4.713290662246152e-5
EVC,8.84245103033718e-6
EXTL1,2.5162344751140227e-5
EYA1,1.2558428834242658e-4
FBN1,1.798546648603515e-4
FBN2,7.905404411414381e-5
EFEMP1,2.5119308158166683e-5
FRZB,1.0693468600830847e-4
GDF2,4.870455177504387e-5
GLG1,1.6395877129710557e-5
GNA11,8.900751615274317e-5
GNAS,2.20597668358927e-4
GPLD1,3.151451440004078e-4
HOXA1,1.6275817047267655e-4
HOXA3,6.28350252808649e-5
HOXA4,3.753595817534978e-6
HOXA5,1.8177127507256065e-4
HOXA6,2.4755123604480633e-6
HOXA9,2.6270104085304002e-5
HOXA10,1.471275269382113e-5
HOXA11,1.0119590286270574e-4
HOXB1,1.1050750764509566e-4
HOXB2,8.311551483447012e-5
HOXB5,5.165268219980957e-6
HOXB6,4.264929524396778e-6
HOXB7,2.4686662822307942e-5
HOXB9,6.456592420939589e-6
HOXC4,8.107305604290897e-6
HOXC5,2.33333253936184e-6
HOXC6,2.3208685717629125e-6
HOXC9,7.834779034158317e-6
HOXC10,2.058217212900916e-5
HOXC11,2.5935715325467837e-5
HOXD1,2.694139903953915e-6
HOXD3,3.46047199558929e-5
HOXD4,4.14833584993118e-6
HOXD10,3.3097127006175256e-5
HOXD11,2.1246886593146077e-5
HOXD12,4.150631264376779e-6
HOXD13,9.041277434143758e-5
HSD17B1,1.1655161531163308e-4
INHA,2.3150138226231737e-4
INSIG1,2.3555909764022624e-4
ITGB8,7.588329974821386e-5
JAG2,9.710100552649188e-5
LAMA5,1.4279074423886846e-4
LECT2,7.409251509220893e-7
LEPR,8.997019599259201e-5
LOX,1.4382416379773817e-4
LTBP3,7.438298680989989e-5
MATN3,1.4327326930033586e-5
MEF2D,1.7213561554662206e-5
MGP,3.271951024198582e-5
MMP9,1.0209194114928768e-4
MMP13,2.066895394392273e-5
MMP14,1.76672451362539e-4
MMP16,2.1583696161191224e-5
MYCN,6.690790896270071e-5
MYF5,5.3030055046189e-5
NAB1,9.847235360932845e-6
NAB2,2.4427904065866666e-5
CCN3,1.347639373840554e-4
NPPC,3.114789108039595e-4
NPR3,5.20416232169128e-5
OGN,1.584849631028188e-5
TNFRSF11B,1.1766843264945528e-4
P2RX5,1.0079532502128103e-4
PAX1,1.3678693373741053e-6
PCSK5,6.253161492067089e-5
PEX7,1.1324542663448766e-4
PHEX,4.433925607631302e-5
PITX1,3.606984411672044e-5
PLS3,8.788717728918696e-6
PRELP,6.033055853380102e-6
PRKG2,1.0346946742843244e-4
PRPSAP2,1.918326293261245e-5
PTHLH,4.276895154519518e-5
PTH1R,5.489897893844854e-5
RBP4,1.7680980042081586e-4
RPL13,4.588607068353112e-6
RPL38,1.658637763400082e-4
RPS6KA3,2.013506868081481e-5
RYR1,1.1891816915727651e-4
TRAPPC2,2.5230632421586427e-5
SFRP1,4.7190399253420204e-4
SFRP2,3.6055201109562733e-4
SFRP4,1.3121732802714623e-4
SHOX,1.5809159606435336e-6
SOX5,5.199663103655907e-5
SPP2,9.340315605073948e-6
SRD5A1,1.7844780263002975e-4
SRD5A2,1.813433942258997e-4
TCF15,6.139597053461703e-5
TCOF1,1.232829207198434e-5
TEAD4,6.013521164057532e-5
TGFBI,6.634615788964088e-6
TGFBR1,3.2963633572297884e-4
TGFBR2,6.847561992248441e-4
TGM2,5.483366362755535e-4
THBS3,2.8157443461474317e-5
TIMP1,8.016119332550478e-5
TLL1,4.708285246353722e-6
TULP3,9.038128522384522e-5
TYMS,3.0794803100112306e-4
UFD1,6.611343050372712e-5
WNT11,2.694639604296023e-4
WNT2B,1.34437935741735e-4
WNT9A,2.4741338608631716e-5
WNT9B,2.3859666024517585e-4
ZIC3,1.2577153282623439e-4
ZFAND5,7.633153716827093e-6
GPR68,5.796020508949518e-5
MKKS,2.065053601768512e-4
GDF5,6.67837318429192e-5
AXIN2,1.446870693760015e-4
HYAL3,2.0514701066868732e-4
PRKRA,5.64851046578824e-5
DCHS1,1.0275650890867333e-4
CHRD,2.5106478250298782e-5
CCN4,2.0316179843402235e-5
SGPL1,8.835639864461999e-5
RGN,1.8899466330720178e-4
LARGE1,2.2862401142345227e-4
DHRS3,4.042897813773997e-5
TRIP11,5.5803934894640714e-5
CER1,1.2310875095471765e-4
EIF2AK3,2.0521840220323495e-4
TBX4,3.299787700302712e-5
ADAMTS4,3.84004961352773e-6
IFT140,4.9932540307892654e-5
MED12,6.982601048524745e-5
CLEC3A,6.213635466295437e-7
GDF11,1.1481197275375376e-4
LRRC17,1.344500871589985e-5
IRX5,1.4241469072101068e-5
DMRT2,1.2115851258562101e-4
EBP,1.554014432017231e-4
DLL3,2.1235528397884457e-5
SIX2,1.3132240977450666e-4
RAI1,8.113699438991268e-6
LILRB1,5.037863747897298e-4
CNMD,5.123139166244446e-6
ADAMTS7,1.8029391813706706e-5
SULF1,1.439852832111168e-4
PUM2,2.101700715821346e-4
TTC9,4.1630989850709073e-7
CDK20,6.005778112705914e-5
CHRDL2,7.081054752123969e-6
MTHFD1L,1.4768804359125312e-4
TIPARP,5.748366709305205e-5
OPTC,1.261224193161231e-5
SERP1,3.2310610496738714e-5
BMP10,1.321504699065398e-4
ANKRD11,6.214469924907673e-6
SNX10,8.487096131927301e-5
CHST11,1.2206696416883741e-4
INSIG2,1.2227670041432638e-4
CLDN18,6.704380141503864e-5
MEX3C,1.3286447013830778e-5
IFT25,1.8295152722155885e-5
WWOX,1.5432430164941577e-5
SIX4,3.235315706078916e-4
FGFRL1,2.122798987752409e-5
ERRFI1,1.5804241440601566e-4
CYTL1,2.0819009503077492e-5
BNC2,1.2809191553376131e-5
DYM,1.1512242133723618e-6
MKS1,1.2482689471454881e-4
BPNT2,1.4475919748120543e-4
DYNC2I1,3.4689771631814264e-5
TMEM38B,7.39439255435352e-5
SOX6,6.567294535260463e-5
