Gene,MF.score
AURKC,4.454378629380952e-5
PRC1,3.372252589065614e-5
AURKB,4.265394669593703e-4
KIF23,4.568034825476064e-5
KIF4A,3.088561306349822e-5
RACGAP1,8.452974247939317e-5
MAP10,3.1137935625610554e-5
CDCA8,1.1457423643452242e-4
KIF4B,2.5055328745505688e-5
GAA,2.522760498752966e-4
MGAM,3.2208448527763545e-4
EIF6,1.1849062697953205e-4
NOP2,5.724634536260563e-5
RPL5,6.194923415438041e-5
RPL11,6.687169044683912e-5
RPL24,1.8955045457563844e-5
FASTKD2,3.958266289061269e-5
DHX30,3.535594397677772e-5
MDN1,2.3946086570555823e-5
RRS1,3.920910255526684e-5
BOP1,6.405397714971873e-5
MRM2,8.552508452420608e-5
NOP53,1.5625214571716168e-4
MRTO4,1.0650556920091442e-5
BRIX1,6.913912425202807e-6
DDX28,2.8639479271509786e-5
RPF2,2.0703687165065797e-5
RPL10L,1.2794766967482223e-5
MIURF,5.3898213251713005e-5
FAU,2.212749953311087e-5
RPSA,2.6188306056531847e-5
PRKDC,2.772862186725822e-4
PWP2,1.8741511742122377e-5
RPS5,1.391916254436156e-5
RPS14,1.6333185019510588e-5
RPS15,3.96181726091941e-5
RPS19,9.482098097166789e-5
RPS27,1.0698491089126749e-4
RPS28,2.4443914703528544e-5
XRCC5,2.2289239528221276e-4
ERAL1,9.860085099350834e-6
RRP7A,5.447574339405134e-5
MCAT,1.1128699612123787e-4
ABT1,9.004233061425249e-5
RPS27L,3.7054140833158416e-5
MRPS7,1.2815579323909469e-5
METTL17,3.7387135944949315e-5
RRP7BP,3.973532305694952e-5
RPSA2,2.1058571421327465e-5
LOC102724159,1.8741511742122377e-5
ACAA1,2.017663207091645e-4
ACOX1,1.1263995502679707e-4
ABCD1,3.4636010168309146e-4
ABCD2,1.0562838748337882e-4
ACSL1,2.03724570256202e-4
HSD17B4,1.5988678109417657e-4
ABCD3,9.865223844493063e-5
ABCD4,9.867240834335307e-5
PEX2,7.424182264679623e-5
PEX5,1.6496197608858895e-4
ELOVL4,6.942358311184149e-5
ACOX2,9.62493738687964e-5
CYP4F2,3.580285090155371e-4
HACD1,6.946282274197255e-5
TECR,9.85766818865654e-5
ACOT2,1.298020290841483e-5
SLC27A5,1.0015250751809698e-4
SLC27A4,1.388989668802144e-4
SLC27A2,1.6426675276552352e-4
ACSBG1,3.773248484953978e-5
ACSL6,3.7058627848735455e-5
SLC27A6,4.746307774986853e-5
HACD3,6.11556377205429e-5
ELOVL2,6.797214090944619e-5
ELOVL5,7.545476438603697e-5
ELOVL1,7.119745942516611e-5
CYP4F12,1.8341555150350693e-4
ELOVL6,8.870093525514151e-5
ELOVL7,6.003446327138897e-5
